Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Condition,Measure ID,Measure Name,Score,Sample,Footnote,Measure Start Date,Measure End Date
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Acute Myocardial Infarction (AMI),OP_4,Aspirin at Arrival,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Acute Myocardial Infarction (AMI),OP_5,Median Time to ECG,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Stroke care,STK_1,Venous Thromboembolism (VTE) Prophylaxis,89,18,,01/01/2015,12/31/2015
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Stroke care,STK_10,Assessed for Rehabilitation,73,15,,01/01/2015,09/30/2015
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Stroke care,STK_2,Discharged on Antithrombotic Therapy,100,14,,01/01/2015,09/30/2015
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Stroke care,STK_3,Anticoagulation Therapy for Atrial Fibrillation/Flutter,Not Available,2,The number of cases/patients is too few to report for scoring,01/01/2015,09/30/2015
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Stroke care,STK_4,Thrombolytic Therapy,Not Available,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Stroke care,STK_5,Antithrombotic Therapy by End of Hospital Day 2,93,14,,01/01/2015,09/30/2015
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Stroke care,STK_6,Discharged on Statin Medication,93,15,,01/01/2015,12/31/2015
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Stroke care,STK_8,Stroke Education,Not Available,9,The number of cases/patients is too few to report for scoring,01/01/2015,12/31/2015
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Blood clot prevention and treatment,VTE_1,Venous thromboembolism prophylaxis,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Blood clot prevention and treatment,VTE_2,ICU venous thromboembolism prophylaxis,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Blood clot prevention and treatment,VTE_3,Anticoagulation overlap therapy,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Blood clot prevention and treatment,VTE_5,Warfarin therapy discharge instructions,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Blood clot prevention and treatment,VTE_6,Hospital acquired potentially preventable venous thromboembolism,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,215 N. MAIN ST.,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Emergency Department (ED) Measures,ED_1b,Median time from ED arrival to ED departure for admitted ED patients,175,194,Data submitted were based on a sample of cases/patients. following specific rules for selection.,01/01/2015,12/31/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,215 N. MAIN ST.,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Emergency Department (ED) Measures,ED_2b,Admit Decision Time to ED Departure Time for Admitted Patients,132.5,62,Data submitted were based on a sample of cases/patients. following specific rules for selection.,01/01/2015,12/31/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,215 N. MAIN ST.,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Preventative Care Measures,IMM_2,Immunization for influenza,83,275,Submitted data based on sample cases following specific rules for selection; data submitted does not cover the entire evaluation period or there was no data to submit during part of the evaluation period.,10/01/2014,03/31/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,215 N. MAIN ST.,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Acute Myocardial Infarction (AMI),OP_1,Median Time to Fibrinolysis,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,215 N. MAIN ST.,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Emergency Department (ED) Measures,OP_18b,Median time from ED arrival to ED departure for discharged ED patients,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,215 N. MAIN ST.,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Acute Myocardial Infarction (AMI),OP_2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,215 N. MAIN ST.,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Emergency Department (ED) Measures,OP_20,Door to diagnostic eval,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,215 N. MAIN ST.,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Emergency Department (ED) Measures,OP_21,Median time to pain med,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,215 N. MAIN ST.,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Emergency Department (ED) Measures,OP_23,Head CT results,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,215 N. MAIN ST.,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Acute Myocardial Infarction (AMI),OP_3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,215 N. MAIN ST.,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Acute Myocardial Infarction (AMI),OP_4,Aspirin at Arrival,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,215 N. MAIN ST.,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Acute Myocardial Infarction (AMI),OP_5,Median Time to ECG,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,215 N. MAIN ST.,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Stroke care,STK_1,Venous Thromboembolism (VTE) Prophylaxis,76,25,,01/01/2015,12/31/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,215 N. MAIN ST.,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Stroke care,STK_10,Assessed for Rehabilitation,88,17,,01/01/2015,09/30/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,215 N. MAIN ST.,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Stroke care,STK_2,Discharged on Antithrombotic Therapy,100,17,,01/01/2015,09/30/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,215 N. MAIN ST.,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Stroke care,STK_3,Anticoagulation Therapy for Atrial Fibrillation/Flutter,Not Available,6,The number of cases/patients is too few to report for scoring,01/01/2015,09/30/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,215 N. MAIN ST.,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Stroke care,STK_4,Thrombolytic Therapy,Not Available,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,215 N. MAIN ST.,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Stroke care,STK_5,Antithrombotic Therapy by End of Hospital Day 2,94,17,,01/01/2015,09/30/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,215 N. MAIN ST.,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Stroke care,STK_6,Discharged on Statin Medication,92,24,,01/01/2015,12/31/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,215 N. MAIN ST.,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Stroke care,STK_8,Stroke Education,Not Available,7,The number of cases/patients is too few to report for scoring,01/01/2015,12/31/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,215 N. MAIN ST.,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Blood clot prevention and treatment,VTE_1,Venous thromboembolism prophylaxis,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,215 N. MAIN ST.,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Blood clot prevention and treatment,VTE_2,ICU venous thromboembolism prophylaxis,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,215 N. MAIN ST.,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Blood clot prevention and treatment,VTE_3,Anticoagulation overlap therapy,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,215 N. MAIN ST.,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Blood clot prevention and treatment,VTE_5,Warfarin therapy discharge instructions,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,215 N. MAIN ST.,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Blood clot prevention and treatment,VTE_6,Hospital acquired potentially preventable venous thromboembolism,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Emergency Department (ED) Measures,ED_1b,Median time from ED arrival to ED departure for admitted ED patients,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Emergency Department (ED) Measures,ED_2b,Admit Decision Time to ED Departure Time for Admitted Patients,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Preventative Care Measures,IMM_2,Immunization for influenza,85,292,Data submitted were based on a sample of cases/patients. following specific rules for selection.,10/01/2014,03/31/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Acute Myocardial Infarction (AMI),OP_1,Median Time to Fibrinolysis,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Emergency Department (ED) Measures,OP_18b,Median time from ED arrival to ED departure for discharged ED patients,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Acute Myocardial Infarction (AMI),OP_2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Emergency Department (ED) Measures,OP_20,Door to diagnostic eval,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Emergency Department (ED) Measures,OP_21,Median time to pain med,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Emergency Department (ED) Measures,OP_23,Head CT results,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Acute Myocardial Infarction (AMI),OP_3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Acute Myocardial Infarction (AMI),OP_4,Aspirin at Arrival,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Acute Myocardial Infarction (AMI),OP_5,Median Time to ECG,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Stroke care,STK_1,Venous Thromboembolism (VTE) Prophylaxis,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Stroke care,STK_10,Assessed for Rehabilitation,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,09/30/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Stroke care,STK_2,Discharged on Antithrombotic Therapy,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,09/30/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Stroke care,STK_3,Anticoagulation Therapy for Atrial Fibrillation/Flutter,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,09/30/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Stroke care,STK_4,Thrombolytic Therapy,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Stroke care,STK_5,Antithrombotic Therapy by End of Hospital Day 2,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,09/30/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Stroke care,STK_6,Discharged on Statin Medication,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Stroke care,STK_8,Stroke Education,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Blood clot prevention and treatment,VTE_1,Venous thromboembolism prophylaxis,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Blood clot prevention and treatment,VTE_2,ICU venous thromboembolism prophylaxis,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Blood clot prevention and treatment,VTE_3,Anticoagulation overlap therapy,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Blood clot prevention and treatment,VTE_5,Warfarin therapy discharge instructions,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Blood clot prevention and treatment,VTE_6,Hospital acquired potentially preventable venous thromboembolism,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Emergency Department (ED) Measures,ED_1b,Median time from ED arrival to ED departure for admitted ED patients,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Emergency Department (ED) Measures,ED_2b,Admit Decision Time to ED Departure Time for Admitted Patients,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Preventative Care Measures,IMM_2,Immunization for influenza,73,575,Submitted data based on sample cases following specific rules for selection; data submitted does not cover the entire evaluation period or there was no data to submit during part of the evaluation period.,10/01/2014,03/31/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Acute Myocardial Infarction (AMI),OP_1,Median Time to Fibrinolysis,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Emergency Department (ED) Measures,OP_18b,Median time from ED arrival to ED departure for discharged ED patients,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Acute Myocardial Infarction (AMI),OP_2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Emergency Department (ED) Measures,OP_20,Door to diagnostic eval,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Emergency Department (ED) Measures,OP_21,Median time to pain med,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Emergency Department (ED) Measures,OP_23,Head CT results,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Acute Myocardial Infarction (AMI),OP_3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Acute Myocardial Infarction (AMI),OP_4,Aspirin at Arrival,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Acute Myocardial Infarction (AMI),OP_5,Median Time to ECG,,0,"No cases met the criteria for this measure, no data to report or score.",01/01/2015,12/31/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Stroke care,STK_1,Venous Thromboembolism (VTE) Prophylaxis,89,75,,01/01/2015,12/31/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Stroke care,STK_10,Assessed for Rehabilitation,89,55,,01/01/2015,09/30/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Stroke care,STK_2,Discharged on Antithrombotic Therapy,100,45,,01/01/2015,09/30/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Stroke care,STK_3,Anticoagulation Therapy for Atrial Fibrillation/Flutter,Not Available,8,The number of cases/patients is too few to report for scoring,01/01/2015,09/30/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Stroke care,STK_4,Thrombolytic Therapy,Not Available,2,The number of cases/patients is too few to report for scoring,01/01/2015,12/31/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Stroke care,STK_5,Antithrombotic Therapy by End of Hospital Day 2,98,44,,01/01/2015,09/30/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Stroke care,STK_6,Discharged on Statin Medication,95,57,,01/01/2015,12/31/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Stroke care,STK_8,Stroke Education,53,64,,01/01/2015,12/31/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Blood clot prevention and treatment,VTE_1,Venous thromboembolism prophylaxis,81,328,Data submitted were based on a sample of cases/patients. following specific rules for selection.,01/01/2015,12/31/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Blood clot prevention and treatment,VTE_2,ICU venous thromboembolism prophylaxis,93,55,Data submitted were based on a sample of cases/patients. following specific rules for selection.,01/01/2015,12/31/2015
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Blood clot prevention and treatment,VTE_3,Anticoagulation overlap therapy,92,12,,01/01/2015,12/31/2015
