State,Hospital Name,PSI_90_SAFETY,State Average,Difference
AL,CLAY COUNTY HOSPITAL,0.991228,0.989032169,0.002195831
AL,COMMUNITY HOSPITAL INC,0.986903,0.989032169,-0.002129169
AL,COOSA VALLEY MEDICAL CENTER,1.108147,0.989032169,0.119114831
AL,CRENSHAW COMMUNITY HOSPITAL,0.996061,0.989032169,0.007028831
AL,CRESTWOOD MEDICAL CENTER,0.983858,0.989032169,-0.005174169
AL,CULLMAN REGIONAL MEDICAL CENTER,1.041771,0.989032169,0.052738831
AL,D C H REGIONAL MEDICAL CENTER,1.022378,0.989032169,0.033345831
AL,D W MCMILLAN MEMORIAL HOSPITAL,0.945202,0.989032169,-0.043830169
AL,DALE MEDICAL CENTER,1.003837,0.989032169,0.014804831
AL,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,1.02,0.989032169,0.030967831
AL,DEKALB REGIONAL MEDICAL CENTER,0.91035,0.989032169,-0.078682169
AL,EAST ALABAMA MEDICAL CENTER,0.97,0.989032169,-0.019032169
AL,ELIZA COFFEE MEMORIAL HOSPITAL,1.002952,0.989032169,0.013919831
AL,ELMORE COMMUNITY HOSPITAL,0.994989,0.989032169,0.005956831
AL,EVERGREEN MEDICAL CENTER,0.990574,0.989032169,0.001541831
AL,FAYETTE MEDICAL CENTER,0.973852,0.989032169,-0.015180169
AL,FLOWERS HOSPITAL,0.944355,0.989032169,-0.044677169
AL,GADSDEN REGIONAL MEDICAL CENTER,1.065333,0.989032169,0.076300831
AL,GEORGIANA MEDICAL CENTER,0.994003,0.989032169,0.004970831
AL,GRANDVIEW MEDICAL CENTER,1.035493,0.989032169,0.046460831
AL,GREENE COUNTY HOSPITAL,0.997552,0.989032169,0.008519831
AL,GROVE HILL MEMORIAL HOSPITAL,0.99421,0.989032169,0.005177831
AL,HALE COUNTY HOSPITAL,0.996404,0.989032169,0.007371831
AL,HELEN KELLER MEMORIAL HOSPITAL,0.95,0.989032169,-0.039032169
AL,HIGHLANDS MEDICAL CENTER,0.937636,0.989032169,-0.051396169
AL,HILL HOSPITAL OF SUMTER COUNTY,0.996745,0.989032169,0.007712831
AL,HUNTSVILLE HOSPITAL,1.1136,0.989032169,0.124567831
AL,J PAUL JONES HOSPITAL,0.998668,0.989032169,0.009635831
AL,JACK HUGHSTON MEMORIAL HOSPITAL,0.861382,0.989032169,-0.127650169
AL,JACKSON HOSPITAL & CLINIC INC,1.163661,0.989032169,0.174628831
AL,JACKSON MEDICAL CENTER,0.997218,0.989032169,0.008185831
AL,L V STABLER MEMORIAL HOSPITAL,0.952472,0.989032169,-0.036560169
AL,LAKE MARTIN COMMUNITY HOSPITAL,0.999168,0.989032169,0.010135831
AL,LAKELAND COMMUNITY HOSPITAL,0.991289,0.989032169,0.002256831
AL,LAWRENCE MEDICAL CENTER,0.993082,0.989032169,0.004049831
AL,MARION REGIONAL MEDICAL CENTER,0.997543,0.989032169,0.008510831
AL,MARSHALL MEDICAL CENTER SOUTH,0.99,0.989032169,0.000967831
AL,MEDICAL CENTER BARBOUR,1.031101,0.989032169,0.042068831
AL,MEDICAL CENTER ENTERPRISE,0.92707,0.989032169,-0.061962169
AL,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",1.075639,0.989032169,0.086606831
AL,MIZELL MEMORIAL HOSPITAL,0.946767,0.989032169,-0.042265169
AL,MOBILE INFIRMARY MEDICAL CENTER,1.15256,0.989032169,0.163527831
AL,MONROE COUNTY HOSPITAL,0.992193,0.989032169,0.003160831
AL,NORTH ALABAMA SPECIALITY HOSPITAL,0.989032169,0.989032169,0
AL,NORTH BALDWIN INFIRMARY,0.985195,0.989032169,-0.003837169
AL,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,1.284265,0.989032169,0.295232831
AL,NORTHWEST MEDICAL CENTER,0.936007,0.989032169,-0.053025169
AL,PICKENS COUNTY MEDICAL CENTER,0.996687,0.989032169,0.007654831
AL,PRATTVILLE BAPTIST HOSPITAL,0.978952,0.989032169,-0.010080169
AL,PRINCETON BAPTIST MEDICAL CENTER,0.94,0.989032169,-0.049032169
AL,PROVIDENCE HOSPITAL,1.118954,0.989032169,0.129921831
AL,RED BAY HOSPITAL,0.989032169,0.989032169,0
AL,RIVERVIEW REGIONAL MEDICAL CENTER,0.924439,0.989032169,-0.064593169
AL,RMC JACKSONVILLE,0.995638,0.989032169,0.006605831
AL,RUSSELL HOSPITAL,0.891734,0.989032169,-0.097298169
AL,RUSSELLVILLE HOSPITAL,0.911313,0.989032169,-0.077719169
AL,SHELBY BAPTIST MEDICAL CENTER,0.937862,0.989032169,-0.051170169
AL,SHOALS HOSPITAL,1.006778,0.989032169,0.017745831
AL,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1.017899,0.989032169,0.028866831
AL,SOUTHEAST ALABAMA MEDICAL CENTER,0.851805,0.989032169,-0.137227169
AL,SPRINGHILL MEMORIAL HOSPITAL,1.07,0.989032169,0.080967831
AL,ST VINCENT'S BIRMINGHAM,1.083704,0.989032169,0.094671831
AL,ST VINCENTS BLOUNT,0.960898,0.989032169,-0.028134169
AL,ST VINCENT'S CHILTON,0.989032169,0.989032169,0
AL,ST VINCENT'S EAST,0.989032169,0.989032169,0
AL,ST VINCENT'S ST CLAIR,1.12,0.989032169,0.130967831
AL,STRINGFELLOW MEMORIAL HOSPITAL,1.014907,0.989032169,0.025874831
AL,THOMAS HOSPITAL,0.861016,0.989032169,-0.128016169
AL,TROY REGIONAL MEDICAL CENTER,0.996726,0.989032169,0.007693831
AL,UNIVERSITY OF ALABAMA HOSPITAL,1.021231,0.989032169,0.032198831
AL,UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS,0.989032169,0.989032169,0
AL,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,0.974259,0.989032169,-0.014773169
AL,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,0.828867,0.989032169,-0.160165169
AL,WALKER BAPTIST MEDICAL CENTER,0.911495,0.989032169,-0.077537169
AL,WASHINGTON COUNTY HOSPITAL,0.989032169,0.989032169,0
AL,WEDOWEE HOSPITAL,0.997855,0.989032169,0.008822831
AL,WIREGRASS MEDICAL CENTER,0.934508,0.989032169,-0.054524169
AR,ARKANSAS CHILDREN'S HOSPITAL,0.993330419,0.993330419,0
AR,"ARKANSAS HEART HOSPITAL, LLC",0.819549,0.993330419,-0.173781419
AR,ARKANSAS METHODIST MEDICAL CENTER,1.027158,0.993330419,0.033827581
AR,ARKANSAS SURGICAL HOSPITAL,0.660153,0.993330419,-0.333177419
AR,ASHLEY COUNTY MEDICAL CENTER,0.993330419,0.993330419,0
AR,BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS,0.993330419,0.993330419,0
AR,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,0.921624,0.993330419,-0.071706419
AR,BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA,0.993330419,0.993330419,0
AR,BAPTIST HEALTH MEDICAL CENTER-CONWAY,0.993330419,0.993330419,0
AR,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,0.975918,0.993330419,-0.017412419
AR,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,1.216717,0.993330419,0.223386581
AR,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,0.984758,0.993330419,-0.008572419
AR,BAXTER REGIONAL MEDICAL CENTER,1.15346,0.993330419,0.160129581
AR,BRADLEY COUNTY MEDICAL CENTER,0.993330419,0.993330419,0
AR,CHAMBERS MEMORIAL HOSPITAL,0.9891,0.993330419,-0.004230419
AR,CHI ST VINCENT MORRILTON,0.993330419,0.993330419,0
AR,CHI ST. VINCENT HOSPITAL HOT SPRINGS,1.18,0.993330419,0.186669581
AR,CHICOT MEMORIAL MEDICAL CENTER,1.09478,0.993330419,0.101449581
AR,CHI-ST VINCENT INFIRMARY,0.993330419,0.993330419,0
AR,CONWAY REGIONAL MEDICAL CENTER,1.029043,0.993330419,0.035712581
AR,CROSSRIDGE COMMUNITY HOSPITAL,0.993330419,0.993330419,0
AR,DALLAS COUNTY MEDICAL CENTER,0.993330419,0.993330419,0
AR,"DE QUEEN MEDICAL CENTER, INC",0.993330419,0.993330419,0
AR,DELTA MEMORIAL HOSPITAL,0.993330419,0.993330419,0
AR,"DEWITT HOSPITAL & NURSING HOME, INC",0.993330419,0.993330419,0
AR,DREW MEMORIAL HOSPITAL,0.984375,0.993330419,-0.008955419
AR,"EUREKA SPRINGS HOSPITAL, LLC",0.993330419,0.993330419,0
AR,FIVE RIVERS MEDICAL CENTER,0.994034,0.993330419,0.000703581
AR,FORREST CITY MEDICAL CENTER,1.14327,0.993330419,0.149939581
AR,FULTON COUNTY HOSPITAL,0.993330419,0.993330419,0
AR,GREAT RIVER MEDICAL CENTER,1.015209,0.993330419,0.021878581
AR,HELENA REGIONAL MEDICAL CENTER,1.053049,0.993330419,0.059718581
AR,HOWARD MEMORIAL HOSPITAL,0.993330419,0.993330419,0
AR,"IZARD COUNTY MEDICAL CENTER, LLC",0.993330419,0.993330419,0
AR,JEFFERSON REGIONAL MEDICAL CENTER,1.073443,0.993330419,0.080112581
AR,JOHNSON REGIONAL MEDICAL CENTER,0.955,0.993330419,-0.038330419
AR,LAWRENCE MEMORIAL HOSPITAL,0.993330419,0.993330419,0
AR,LEVI HOSPITAL,0.993330419,0.993330419,0
AR,LITTLE RIVER MEMORIAL HOSPITAL,0.993330419,0.993330419,0
AR,MAGNOLIA HOSPITAL,1.025559,0.993330419,0.032228581
AR,MCGEHEE HOSPITAL,0.993330419,0.993330419,0
AR,MEDICAL CENTER SOUTH ARKANSAS,1.049084,0.993330419,0.055753581
AR,MENA REGIONAL HEALTH SYSTEM,0.989506,0.993330419,-0.003824419
AR,MERCY HOSPITAL BERRYVILLE,0.993330419,0.993330419,0
AR,MERCY HOSPITAL BOONEVILLE,0.993330419,0.993330419,0
AR,MERCY HOSPITAL FORT SMITH,0.783859,0.993330419,-0.209471419
AR,MERCY HOSPITAL NORTHWEST ARKANSAS,0.802752,0.993330419,-0.190578419
AR,MERCY HOSPITAL TURNER MEMORIAL,0.993330419,0.993330419,0
AR,MERCY HOSPITAL WALDRON,0.993330419,0.993330419,0
AR,NATIONAL PARK MEDICAL CENTER,1.11131,0.993330419,0.117979581
AR,NEA BAPTIST MEMORIAL HOSPITAL,0.740638,0.993330419,-0.252692419
AR,NORTH ARKANSAS REGIONAL MEDICAL CENTER,0.849501,0.993330419,-0.143829419
AR,NORTH LOGAN MERCY HOSPITAL,0.993330419,0.993330419,0
AR,NORTH METRO MEDICAL CENTER,1.086986,0.993330419,0.093655581
AR,NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,0.94,0.993330419,-0.053330419
AR,NORTHWEST MEDICAL CENTER-SPRINGDALE,0.730888,0.993330419,-0.262442419
AR,OUACHITA COUNTY MEDICAL CENTER,0.997665,0.993330419,0.004334581
AR,OZARK HEALTH,0.993330419,0.993330419,0
AR,OZARKS COMMUNITY HOSPITAL OF GRAVETTE,0.993330419,0.993330419,0
AR,PIGGOTT COMMUNITY HOSPITAL,0.993330419,0.993330419,0
AR,RIVER VALLEY MEDICAL CENTER,0.993330419,0.993330419,0
AR,SALINE MEMORIAL HOSPITAL,0.821978,0.993330419,-0.171352419
AR,SILOAM SPRINGS REGIONAL HOSPITAL,0.978736,0.993330419,-0.014594419
AR,SOUTH MISSISSISSPI COUNTY REGIONAL MEDICAL CENTER,0.993330419,0.993330419,0
AR,SPARKS MEDICAL CENTER - VAN BUREN,0.96,0.993330419,-0.033330419
AR,SPARKS REGIONAL MEDICAL CENTER,1.178153,0.993330419,0.184822581
AR,ST BERNARDS MEDICAL CENTER,1.365508,0.993330419,0.372177581
AR,ST MARYS REGIONAL MEDICAL CENTER,0.954402,0.993330419,-0.038928419
AR,ST VINCENT MEDICAL CENTER/NORTH,0.913749,0.993330419,-0.079581419
AR,STONE COUNTY MEDICAL CENTER,0.993330419,0.993330419,0
AR,UAMS MEDICAL CENTER,1.272741,0.993330419,0.279410581
AR,WADLEY REGIONAL MEDICAL CENTER AT HOPE,0.990618,0.993330419,-0.002712419
AR,WASHINGTON REGIONAL MEDICAL CENTER,1.039043,0.993330419,0.045712581
AR,WHITE COUNTY MEDICAL CENTER,0.901026,0.993330419,-0.092304419
AR,WHITE RIVER MEDICAL CENTER,0.958866,0.993330419,-0.034464419
AS,LBJ TROPICAL MEDICAL CENTER,0.997583873,0.997583873,0
AZ,ABRAZO ARROWHEAD CAMPUS,0.99,0.992032857,-0.002032857
AZ,ABRAZO CENTRAL CAMPUS,0.901155,0.992032857,-0.090877857
AZ,ABRAZO MARYVALE CAMPUS,0.982002,0.992032857,-0.010030857
AZ,ABRAZO SCOTTSDALE CAMPUS,1.030277,0.992032857,0.038244143
AZ,ABRAZO WEST CAMPUS,1.045101,0.992032857,0.053068143
AZ,ARIZONA SPECIALTY HOSPITAL,0.89,0.992032857,-0.102032857
AZ,ARIZONA SPINE AND JOINT HOSPITAL,0.94521,0.992032857,-0.046822857
AZ,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,1.163841,0.992032857,0.171808143
AZ,BANNER BAYWOOD MEDICAL CENTER,1.223748,0.992032857,0.231715143
AZ,BANNER BOSWELL MEDICAL CENTER,0.725503,0.992032857,-0.266529857
AZ,BANNER CASA GRANDE MEDICAL CENTER,1.048279,0.992032857,0.056246143
AZ,BANNER DEL E. WEBB MEDICAL CENTER,0.94055,0.992032857,-0.051482857
AZ,BANNER DESERT MEDICAL CENTER,0.850748,0.992032857,-0.141284857
AZ,BANNER ESTRELLA MEDICAL CENTER,1.085362,0.992032857,0.093329143
AZ,BANNER GATEWAY MEDICAL CENTER,0.858872,0.992032857,-0.133160857
AZ,BANNER GOLDFIELD MEDICAL CENTER,1.020955,0.992032857,0.028922143
AZ,BANNER HEART HOSPITAL,0.940606,0.992032857,-0.051426857
AZ,BANNER IRONWOOD MEDICAL CENTER,0.966116,0.992032857,-0.025916857
AZ,BANNER PAYSON MEDICAL CENTER,0.895322,0.992032857,-0.096710857
AZ,BANNER THUNDERBIRD MEDICAL CENTER,1.286397,0.992032857,0.294364143
AZ,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,1.135477,0.992032857,0.143444143
AZ,BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,1.207159,0.992032857,0.215126143
AZ,BENSON HOSPITAL,0.992032857,0.992032857,0
AZ,CANYON VISTA MEDICAL CENTER,1.097236,0.992032857,0.105203143
AZ,CHANDLER REGIONAL MEDICAL CENTER,0.897431,0.992032857,-0.094601857
AZ,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,0.990896,0.992032857,-0.001136857
AZ,COBRE VALLEY REGIONAL MEDICAL CENTER,0.992032857,0.992032857,0
AZ,COPPER QUEEN COMMUNITY HOSPITAL,0.992032857,0.992032857,0
AZ,"CORE INSTITUTE SPECIALTY HOSPITAL, THE",0.88,0.992032857,-0.112032857
AZ,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,0.999889,0.992032857,0.007856143
AZ,FLAGSTAFF MEDICAL CENTER,1.262347,0.992032857,0.270314143
AZ,"FLORENCE HOSPITAL AT ANTHEM, LLC",0.997899,0.992032857,0.005866143
AZ,FORT DEFIANCE INDIAN HOSPITAL,0.983719,0.992032857,-0.008313857
AZ,GILBERT HOSPITAL,1.134357,0.992032857,0.142324143
AZ,GREEN VALLEY HOSPITAL,0.996438,0.992032857,0.004405143
AZ,"HACIENDA CHILDREN'S HOSPITAL, INC.",0.992032857,0.992032857,0
AZ,HAVASU REGIONAL MEDICAL CENTER,0.949321,0.992032857,-0.042711857
AZ,HOLY CROSS HOSPITAL,0.992032857,0.992032857,0
AZ,HONORHEALTH DEER VALLEY MEDICAL CENTER,1.052693,0.992032857,0.060660143
AZ,HOPI HEALTH CARE CENTER,0.992032857,0.992032857,0
AZ,HUHU KAM MEMORIAL HOSPITAL,0.992032857,0.992032857,0
AZ,JOHN C. LINCOLN MEDICAL CENTER,1.21,0.992032857,0.217967143
AZ,KINGMAN REGIONAL MEDICAL CENTER,0.984777,0.992032857,-0.007255857
AZ,LA PAZ REGIONAL HOSPITAL,0.992032857,0.992032857,0
AZ,LITTLE COLORADO MEDICAL CENTER,0.992032857,0.992032857,0
AZ,"LOS NINOS HOSPITAL, INC.",0.992032857,0.992032857,0
AZ,MARICOPA MEDICAL CENTER,1.052672,0.992032857,0.060639143
AZ,MAYO CLINIC HOSPITAL,0.879862,0.992032857,-0.112170857
AZ,MERCY GILBERT MEDICAL CENTER,0.82469,0.992032857,-0.167342857
AZ,"MOUNTAIN VISTA MEDICAL CENTER, LP",1.079323,0.992032857,0.087290143
AZ,MT. GRAHAM REGIONAL MEDICAL CENTER,0.971004,0.992032857,-0.021028857
AZ,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC.",0.992032857,0.992032857,0
AZ,NORTHWEST MEDICAL CENTER,0.936007,0.992032857,-0.056025857
AZ,O.A.S.I.S. HOSPITAL,0.808584,0.992032857,-0.183448857
AZ,ORO VALLEY HOSPITAL,0.949827,0.992032857,-0.042205857
AZ,PAGE HOSPITAL,0.992032857,0.992032857,0
AZ,PARKER INDIAN HEALTH CENTER,0.992032857,0.992032857,0
AZ,PHOENIX CHILDREN'S HOSPITAL,0.992032857,0.992032857,0
AZ,PHOENIX INDIAN MEDICAL CENTER,0.994159,0.992032857,0.002126143
AZ,SAGE MEMORIAL HOSPITAL,0.992032857,0.992032857,0
AZ,SAN CARLOS APACHE HEALTHCARE,1,0.992032857,0.007967143
AZ,SCOTTSDALE OSBORN MEDICAL CENTER,0.891651,0.992032857,-0.100381857
AZ,SCOTTSDALE SHEA MEDICAL CENTER,1.03,0.992032857,0.037967143
AZ,SCOTTSDALE THOMPSON PEAK MEDICAL CENTER,0.781363,0.992032857,-0.210669857
AZ,SELLS HOSPITAL,0.999238,0.992032857,0.007205143
AZ,ST JOSEPH'S HOSPITAL,0.923766,0.992032857,-0.068266857
AZ,ST LUKE'S MEDICAL CENTER,0.991325,0.992032857,-0.000707857
AZ,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,1.117246,0.992032857,0.125213143
AZ,ST. MARY'S HOSPITAL,0.973128,0.992032857,-0.018904857
AZ,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,0.829687,0.992032857,-0.162345857
AZ,TUBA CITY REGIONAL HEALTH CARE CORPORATION,1.146257,0.992032857,0.154224143
AZ,TUCSON MEDICAL CENTER,0.911714,0.992032857,-0.080318857
AZ,VALLEY VIEW MEDICAL CENTER,1.030268,0.992032857,0.038235143
AZ,VERDE VALLEY MEDICAL CENTER,0.924953,0.992032857,-0.067079857
AZ,WESTERN ARIZONA REGIONAL MEDICAL CENTER,0.876701,0.992032857,-0.115331857
AZ,WHITE MOUNTAIN REGIONAL MEDICAL CENTER,0.992032857,0.992032857,0
AZ,WHITERIVER PHS INDIAN HOSPITAL,0.996634,0.992032857,0.004601143
AZ,WICKENBURG COMMUNITY HOSPITAL,0.992032857,0.992032857,0
AZ,YAVAPAI REGIONAL MEDICAL CENTER,1.012407,0.992032857,0.020374143
AZ,YUMA REGIONAL MEDICAL CENTER,0.995921,0.992032857,0.003888143
CA,ADVENTIST HEALTH BAKERSFIELD,1.11,0.988730316,0.121269684
CA,ADVENTIST HEALTH MEDICAL CENTER TEHACHAPI VALLEY,0.988730316,0.988730316,0
CA,ADVENTIST HEALTH SIMI VALLEY,0.89,0.988730316,-0.098730316
CA,ADVENTIST HEALTH SONORA,0.97,0.988730316,-0.018730316
CA,ADVENTIST MEDICAL CENTER,0.946332,0.988730316,-0.042398316
CA,ADVENTIST MEDICAL CENTER - REEDLEY,0.996013,0.988730316,0.007282684
CA,AHMC ANAHEIM REGIONAL MEDICAL CENTER,0.985569,0.988730316,-0.003161316
CA,ALAMEDA HOSPITAL,0.934256,0.988730316,-0.054474316
CA,ALHAMBRA HOSPITAL MEDICAL CENTER,1.007233,0.988730316,0.018502684
CA,ALTA BATES SUMMIT MEDICAL CENTER,1.131674,0.988730316,0.142943684
CA,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,0.948143,0.988730316,-0.040587316
CA,ALVARADO HOSPITAL MEDICAL CENTER,0.731245,0.988730316,-0.257485316
CA,ANAHEIM GLOBAL MEDICAL CENTER,0.955856,0.988730316,-0.032874316
CA,ANTELOPE VALLEY HOSPITAL,1.174249,0.988730316,0.185518684
CA,ARROWHEAD REGIONAL MEDICAL CENTER,0.978418,0.988730316,-0.010312316
CA,BAKERSFIELD HEART HOSPITAL,1.06721,0.988730316,0.078479684
CA,BAKERSFIELD MEMORIAL HOSPITAL,1.500875,0.988730316,0.512144684
CA,BANNER LASSEN MEDICAL CENTER,0.988730316,0.988730316,0
CA,BARSTOW COMMUNITY HOSPITAL,0.942961,0.988730316,-0.045769316
CA,BARTON MEMORIAL HOSPITAL,1.036699,0.988730316,0.047968684
CA,BEAR VALLEY COMMUNITY HOSPITAL,0.988730316,0.988730316,0
CA,BEVERLY HOSPITAL,0.877276,0.988730316,-0.111454316
CA,CALIFORNIA HOSPITAL MEDICAL CENTER LA,0.979931,0.988730316,-0.008799316
CA,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,0.959447,0.988730316,-0.029283316
CA,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,0.91197,0.988730316,-0.076760316
CA,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,0.68195,0.988730316,-0.306780316
CA,CASA COLINA HOSPITAL,0.988730316,0.988730316,0
CA,CATALINA ISLAND MEDICAL CENTER,0.988730316,0.988730316,0
CA,CEDARS-SINAI MEDICAL CENTER,1.006346,0.988730316,0.017615684
CA,CENTINELA HOSPITAL MEDICAL CENTER,0.729613,0.988730316,-0.259117316
CA,CHAPMAN GLOBAL MEDICAL CENTER,0.934663,0.988730316,-0.054067316
CA,CHILDREN'S HOSP OF LOS ANGELES,0.988730316,0.988730316,0
CA,CHILDREN'S HOSPITAL & RESEARCH CENTER OAKLAND,0.988730316,0.988730316,0
CA,CHILDREN'S HOSPITAL AT MISSION,0.988730316,0.988730316,0
CA,CHILDREN'S HOSPITAL OF ORANGE COUNTY,0.988730316,0.988730316,0
CA,CHINESE HOSPITAL,0.932945,0.988730316,-0.055785316
CA,CHINO VALLEY MEDICAL CENTER,0.932138,0.988730316,-0.056592316
CA,CITRUS VALLEY MEDICAL CENTER-IC CAMPUS,1.267585,0.988730316,0.278854684
CA,CLOVIS COMMUNITY MEDICAL CENTER,1.516902,0.988730316,0.528171684
CA,COALINGA REGIONAL MEDICAL CENTER,0.999086,0.988730316,0.010355684
CA,COAST PLAZA HOSPITAL,0.999045,0.988730316,0.010314684
CA,COLLEGE HOSPITAL COSTA MESA,0.99855,0.988730316,0.009819684
CA,COLLEGE MEDICAL CENTER,0.951457,0.988730316,-0.037273316
CA,COLORADO RIVER MEDICAL CENTER,0.988730316,0.988730316,0
CA,COMMUNITY HOSPITAL OF HUNTINGTON PARK,0.965361,0.988730316,-0.023369316
CA,COMMUNITY HOSPITAL OF LONG BEACH,0.951118,0.988730316,-0.037612316
CA,COMMUNITY HOSPITAL OF SAN BERNARDINO,0.981974,0.988730316,-0.006756316
CA,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,0.932914,0.988730316,-0.055816316
CA,COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA,0.823626,0.988730316,-0.165104316
CA,COMMUNITY REGIONAL MEDICAL CENTER,0.935139,0.988730316,-0.053591316
CA,CONTRA COSTA REGIONAL MEDICAL CENTER,0.908763,0.988730316,-0.079967316
CA,CORONA REGIONAL MEDICAL CENTER,0.931441,0.988730316,-0.057289316
CA,DAMERON HOSPITAL,0.905975,0.988730316,-0.082755316
CA,DELANO REGIONAL MEDICAL CENTER,0.950134,0.988730316,-0.038596316
CA,DESERT REGIONAL MEDICAL CENTER,1.167437,0.988730316,0.178706684
CA,DESERT VALLEY HOSPITAL,1.017932,0.988730316,0.029201684
CA,DOCTORS HOSPITAL OF MANTECA,0.964429,0.988730316,-0.024301316
CA,DOCTORS MEDICAL CENTER,1.321529,0.988730316,0.332798684
CA,DOMINICAN HOSPITAL,0.923084,0.988730316,-0.065646316
CA,EAST LOS ANGELES DOCTORS HOSPITAL,0.970624,0.988730316,-0.018106316
CA,EAST VALLEY GLENDORA HOSPITAL,0.99,0.988730316,0.001269684
CA,EASTERN PLUMAS HOSPITAL - PORTOLA CAMPUS,0.988730316,0.988730316,0
CA,EDEN MEDICAL CENTER,0.987607,0.988730316,-0.001123316
CA,EISENHOWER MEDICAL CENTER,0.928483,0.988730316,-0.060247316
CA,EL CAMINO HOSPITAL,0.848683,0.988730316,-0.140047316
