State,Hospital Name,Rankings,Average,Difference
AL,CHEROKEE MEDICAL CENTER,43.86,42.62087912,1.239120879
AL,CHILDREN'S HOSPITAL OF ALABAMA,40.96,42.62087912,-1.660879121
AL,CHOCTAW GENERAL HOSPITAL,40.96,42.62087912,-1.660879121
AL,CITIZENS BAPTIST MEDICAL CENTER,41.7,42.62087912,-0.920879121
AL,CLAY COUNTY HOSPITAL,43.02,42.62087912,0.399120879
AL,COMMUNITY HOSPITAL INC,43.12,42.62087912,0.499120879
AL,COOSA VALLEY MEDICAL CENTER,41.6,42.62087912,-1.020879121
AL,CRENSHAW COMMUNITY HOSPITAL,44.64,42.62087912,2.019120879
AL,CRESTWOOD MEDICAL CENTER,41.62,42.62087912,-1.000879121
AL,CULLMAN REGIONAL MEDICAL CENTER,42.28,42.62087912,-0.340879121
AL,D C H REGIONAL MEDICAL CENTER,41.78,42.62087912,-0.840879121
AL,D W MCMILLAN MEMORIAL HOSPITAL,41.76,42.62087912,-0.860879121
AL,DALE MEDICAL CENTER,43.34,42.62087912,0.719120879
AL,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,41.98,42.62087912,-0.640879121
AL,DEKALB REGIONAL MEDICAL CENTER,41.36,42.62087912,-1.260879121
AL,EAST ALABAMA MEDICAL CENTER,42.48,42.62087912,-0.140879121
AL,ELIZA COFFEE MEMORIAL HOSPITAL,40.9,42.62087912,-1.720879121
AL,ELMORE COMMUNITY HOSPITAL,43.54,42.62087912,0.919120879
AL,EVERGREEN MEDICAL CENTER,42.8,42.62087912,0.179120879
AL,FAYETTE MEDICAL CENTER,45.08,42.62087912,2.459120879
AL,FLOWERS HOSPITAL,42.72,42.62087912,0.099120879
AL,GADSDEN REGIONAL MEDICAL CENTER,41.38,42.62087912,-1.240879121
AL,GEORGIANA MEDICAL CENTER,45.38,42.62087912,2.759120879
AL,GRANDVIEW MEDICAL CENTER,42.72,42.62087912,0.099120879
AL,GREENE COUNTY HOSPITAL,40.96,42.62087912,-1.660879121
AL,GROVE HILL MEMORIAL HOSPITAL,43.14,42.62087912,0.519120879
AL,HALE COUNTY HOSPITAL,43.84,42.62087912,1.219120879
AL,HELEN KELLER MEMORIAL HOSPITAL,42.6,42.62087912,-0.020879121
AL,HIGHLANDS MEDICAL CENTER,42.32,42.62087912,-0.300879121
AL,HILL HOSPITAL OF SUMTER COUNTY,40.96,42.62087912,-1.660879121
AL,HUNTSVILLE HOSPITAL,42.76,42.62087912,0.139120879
AL,J PAUL JONES HOSPITAL,46.16,42.62087912,3.539120879
AL,JACK HUGHSTON MEMORIAL HOSPITAL,44.36,42.62087912,1.739120879
AL,JACKSON HOSPITAL & CLINIC INC,42.36,42.62087912,-0.260879121
AL,JACKSON MEDICAL CENTER,44.04,42.62087912,1.419120879
AL,L V STABLER MEMORIAL HOSPITAL,44.14,42.62087912,1.519120879
AL,LAKE MARTIN COMMUNITY HOSPITAL,42.34,42.62087912,-0.280879121
AL,LAKELAND COMMUNITY HOSPITAL,42.94,42.62087912,0.319120879
AL,LAWRENCE MEDICAL CENTER,41.68,42.62087912,-0.940879121
AL,MARION REGIONAL MEDICAL CENTER,45.26,42.62087912,2.639120879
AL,MARSHALL MEDICAL CENTER SOUTH,42.18,42.62087912,-0.440879121
AL,MEDICAL CENTER BARBOUR,43.32,42.62087912,0.699120879
AL,MEDICAL CENTER ENTERPRISE,41.68,42.62087912,-0.940879121
AL,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",41.56,42.62087912,-1.060879121
AL,MIZELL MEMORIAL HOSPITAL,43.3,42.62087912,0.679120879
AL,MOBILE INFIRMARY MEDICAL CENTER,43.34,42.62087912,0.719120879
AL,MONROE COUNTY HOSPITAL,43.9,42.62087912,1.279120879
AL,NORTH ALABAMA SPECIALITY HOSPITAL,40.96,42.62087912,-1.660879121
AL,NORTH BALDWIN INFIRMARY,44.02,42.62087912,1.399120879
AL,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,41.84,42.62087912,-0.780879121
AL,NORTHWEST MEDICAL CENTER,43.34,42.62087912,0.719120879
AL,PICKENS COUNTY MEDICAL CENTER,44.96,42.62087912,2.339120879
AL,PRATTVILLE BAPTIST HOSPITAL,42.9,42.62087912,0.279120879
AL,PRINCETON BAPTIST MEDICAL CENTER,42.24,42.62087912,-0.380879121
AL,PROVIDENCE HOSPITAL,42,42.62087912,-0.620879121
AL,RED BAY HOSPITAL,44.48,42.62087912,1.859120879
AL,RIVERVIEW REGIONAL MEDICAL CENTER,40.8,42.62087912,-1.820879121
AL,RMC JACKSONVILLE,42.24,42.62087912,-0.380879121
AL,RUSSELL HOSPITAL,43.04,42.62087912,0.419120879
AL,RUSSELLVILLE HOSPITAL,42.6,42.62087912,-0.020879121
AL,SHELBY BAPTIST MEDICAL CENTER,41.9,42.62087912,-0.720879121
AL,SHOALS HOSPITAL,42.56,42.62087912,-0.060879121
AL,SOUTH BALDWIN REGIONAL MEDICAL CENTER,43.78,42.62087912,1.159120879
AL,SOUTHEAST ALABAMA MEDICAL CENTER,41.5,42.62087912,-1.120879121
AL,SPRINGHILL MEMORIAL HOSPITAL,42.62,42.62087912,-0.000879121
AL,ST VINCENT'S BIRMINGHAM,43.18,42.62087912,0.559120879
AL,ST VINCENT'S CHILTON,40.96,42.62087912,-1.660879121
AL,ST VINCENT'S EAST,42,42.62087912,-0.620879121
AL,ST VINCENT'S ST CLAIR,43.96,42.62087912,1.339120879
AL,ST VINCENTS BLOUNT,43.82,42.62087912,1.199120879
AL,STRINGFELLOW MEMORIAL HOSPITAL,41.38,42.62087912,-1.240879121
AL,THOMAS HOSPITAL,43.02,42.62087912,0.399120879
AL,TROY REGIONAL MEDICAL CENTER,42.04,42.62087912,-0.580879121
AL,UNIVERSITY OF ALABAMA HOSPITAL,43.3,42.62087912,0.679120879
AL,UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS,40.96,42.62087912,-1.660879121
AL,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,42.98,42.62087912,0.359120879
AL,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,40.64,42.62087912,-1.980879121
AL,WALKER BAPTIST MEDICAL CENTER,42.1,42.62087912,-0.520879121
AL,WASHINGTON COUNTY HOSPITAL,40.96,42.62087912,-1.660879121
AL,WEDOWEE HOSPITAL,44.06,42.62087912,1.439120879
AL,WIREGRASS MEDICAL CENTER,42.98,42.62087912,0.359120879
AR,ARKANSAS CHILDREN'S HOSPITAL,40.96,42.54133333,-1.581333333
AR,"ARKANSAS HEART HOSPITAL, LLC",45.14,42.54133333,2.598666667
AR,ARKANSAS METHODIST MEDICAL CENTER,42.22,42.54133333,-0.321333333
AR,ARKANSAS SURGICAL HOSPITAL,45.6,42.54133333,3.058666667
AR,ASHLEY COUNTY MEDICAL CENTER,43.9,42.54133333,1.358666667
AR,BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS,44.96,42.54133333,2.418666667
AR,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,42.52,42.54133333,-0.021333333
AR,BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA,43.76,42.54133333,1.218666667
AR,BAPTIST HEALTH MEDICAL CENTER-CONWAY,40.96,42.54133333,-1.581333333
AR,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,44.78,42.54133333,2.238666667
AR,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,42.14,42.54133333,-0.401333333
AR,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,45.38,42.54133333,2.838666667
AR,BAXTER REGIONAL MEDICAL CENTER,42.46,42.54133333,-0.081333333
AR,BRADLEY COUNTY MEDICAL CENTER,43.26,42.54133333,0.718666667
AR,CHAMBERS MEMORIAL HOSPITAL,44.86,42.54133333,2.318666667
AR,CHI ST VINCENT MORRILTON,40.96,42.54133333,-1.581333333
AR,CHI ST. VINCENT HOSPITAL HOT SPRINGS,41.44,42.54133333,-1.101333333
AR,CHI-ST VINCENT INFIRMARY,41.56,42.54133333,-0.981333333
AR,CHICOT MEMORIAL MEDICAL CENTER,40.96,42.54133333,-1.581333333
AR,CONWAY REGIONAL MEDICAL CENTER,42.38,42.54133333,-0.161333333
AR,CROSSRIDGE COMMUNITY HOSPITAL,45.36,42.54133333,2.818666667
AR,DALLAS COUNTY MEDICAL CENTER,40.96,42.54133333,-1.581333333
AR,"DE QUEEN MEDICAL CENTER, INC",42.26,42.54133333,-0.281333333
AR,DELTA MEMORIAL HOSPITAL,42.98,42.54133333,0.438666667
AR,"DEWITT HOSPITAL & NURSING HOME, INC",46.12,42.54133333,3.578666667
AR,DREW MEMORIAL HOSPITAL,41.68,42.54133333,-0.861333333
AR,"EUREKA SPRINGS HOSPITAL, LLC",40.96,42.54133333,-1.581333333
AR,FIVE RIVERS MEDICAL CENTER,43.24,42.54133333,0.698666667
AR,FORREST CITY MEDICAL CENTER,42.14,42.54133333,-0.401333333
AR,FULTON COUNTY HOSPITAL,44.34,42.54133333,1.798666667
AR,GREAT RIVER MEDICAL CENTER,39.22,42.54133333,-3.321333333
AR,HELENA REGIONAL MEDICAL CENTER,41.88,42.54133333,-0.661333333
AR,HOWARD MEMORIAL HOSPITAL,44.54,42.54133333,1.998666667
AR,"IZARD COUNTY MEDICAL CENTER, LLC",44.62,42.54133333,2.078666667
AR,JEFFERSON REGIONAL MEDICAL CENTER,41.4,42.54133333,-1.141333333
AR,JOHNSON REGIONAL MEDICAL CENTER,43.24,42.54133333,0.698666667
AR,LAWRENCE MEMORIAL HOSPITAL,42.36,42.54133333,-0.181333333
AR,LEVI HOSPITAL,40.96,42.54133333,-1.581333333
AR,LITTLE RIVER MEMORIAL HOSPITAL,40.96,42.54133333,-1.581333333
AR,MAGNOLIA HOSPITAL,42.68,42.54133333,0.138666667
AR,MCGEHEE HOSPITAL,44.24,42.54133333,1.698666667
AR,MEDICAL CENTER SOUTH ARKANSAS,42.14,42.54133333,-0.401333333
AR,MENA REGIONAL HEALTH SYSTEM,43.2,42.54133333,0.658666667
AR,MERCY HOSPITAL BERRYVILLE,44.92,42.54133333,2.378666667
AR,MERCY HOSPITAL BOONEVILLE,43.32,42.54133333,0.778666667
AR,MERCY HOSPITAL FORT SMITH,42.4,42.54133333,-0.141333333
AR,MERCY HOSPITAL NORTHWEST ARKANSAS,41.98,42.54133333,-0.561333333
AR,MERCY HOSPITAL TURNER MEMORIAL,41.6,42.54133333,-0.941333333
AR,MERCY HOSPITAL WALDRON,43.7,42.54133333,1.158666667
AR,NATIONAL PARK MEDICAL CENTER,42.18,42.54133333,-0.361333333
AR,NEA BAPTIST MEMORIAL HOSPITAL,42.72,42.54133333,0.178666667
AR,NORTH ARKANSAS REGIONAL MEDICAL CENTER,43.22,42.54133333,0.678666667
AR,NORTH LOGAN MERCY HOSPITAL,40.96,42.54133333,-1.581333333
AR,NORTH METRO MEDICAL CENTER,38.12,42.54133333,-4.421333333
AR,NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,44.2,42.54133333,1.658666667
AR,NORTHWEST MEDICAL CENTER-SPRINGDALE,41.66,42.54133333,-0.881333333
AR,OUACHITA COUNTY MEDICAL CENTER,43.26,42.54133333,0.718666667
AR,OZARK HEALTH,43.74,42.54133333,1.198666667
AR,OZARKS COMMUNITY HOSPITAL OF GRAVETTE,40.96,42.54133333,-1.581333333
AR,PIGGOTT COMMUNITY HOSPITAL,42.84,42.54133333,0.298666667
AR,RIVER VALLEY MEDICAL CENTER,43.16,42.54133333,0.618666667
AR,SALINE MEMORIAL HOSPITAL,40.54,42.54133333,-2.001333333
AR,SILOAM SPRINGS REGIONAL HOSPITAL,42.42,42.54133333,-0.121333333
AR,SOUTH MISSISSISSPI COUNTY REGIONAL MEDICAL CENTER,42.46,42.54133333,-0.081333333
AR,SPARKS MEDICAL CENTER - VAN BUREN,42.78,42.54133333,0.238666667
AR,SPARKS REGIONAL MEDICAL CENTER,40.34,42.54133333,-2.201333333
AR,ST BERNARDS MEDICAL CENTER,42.52,42.54133333,-0.021333333
AR,ST MARYS REGIONAL MEDICAL CENTER,40.4,42.54133333,-2.141333333
AR,ST VINCENT MEDICAL CENTER/NORTH,41.34,42.54133333,-1.201333333
AR,STONE COUNTY MEDICAL CENTER,40.96,42.54133333,-1.581333333
AR,UAMS MEDICAL CENTER,41.72,42.54133333,-0.821333333
AR,WADLEY REGIONAL MEDICAL CENTER AT HOPE,42.06,42.54133333,-0.481333333
AR,WASHINGTON REGIONAL MEDICAL CENTER,41.78,42.54133333,-0.761333333
AR,WHITE COUNTY MEDICAL CENTER,42.52,42.54133333,-0.021333333
AR,WHITE RIVER MEDICAL CENTER,42.14,42.54133333,-0.401333333
AS,LBJ TROPICAL MEDICAL CENTER,40.96,40.96,0
AZ,ABRAZO ARROWHEAD CAMPUS,41.14,41.60825,-0.46825
AZ,ABRAZO CENTRAL CAMPUS,39.88,41.60825,-1.72825
AZ,ABRAZO MARYVALE CAMPUS,39.42,41.60825,-2.18825
AZ,ABRAZO SCOTTSDALE CAMPUS,40.04,41.60825,-1.56825
AZ,ABRAZO WEST CAMPUS,40.36,41.60825,-1.24825
AZ,ARIZONA SPECIALTY HOSPITAL,45.22,41.60825,3.61175
AZ,ARIZONA SPINE AND JOINT HOSPITAL,45.1,41.60825,3.49175
AZ,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,41.58,41.60825,-0.02825
AZ,BANNER BAYWOOD MEDICAL CENTER,41.32,41.60825,-0.28825
AZ,BANNER BOSWELL MEDICAL CENTER,41.4,41.60825,-0.20825
AZ,BANNER CASA GRANDE MEDICAL CENTER,41.24,41.60825,-0.36825
AZ,BANNER DEL E. WEBB MEDICAL CENTER,41.26,41.60825,-0.34825
AZ,BANNER DESERT MEDICAL CENTER,41.06,41.60825,-0.54825
AZ,BANNER ESTRELLA MEDICAL CENTER,42.46,41.60825,0.85175
AZ,BANNER GATEWAY MEDICAL CENTER,42.38,41.60825,0.77175
AZ,BANNER GOLDFIELD MEDICAL CENTER,43.62,41.60825,2.01175
AZ,BANNER HEART HOSPITAL,42.3,41.60825,0.69175
AZ,BANNER IRONWOOD MEDICAL CENTER,43.34,41.60825,1.73175
AZ,BANNER PAYSON MEDICAL CENTER,41.42,41.60825,-0.18825
AZ,BANNER THUNDERBIRD MEDICAL CENTER,41.62,41.60825,0.01175
AZ,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,39.86,41.60825,-1.74825
AZ,BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,40.42,41.60825,-1.18825
AZ,BENSON HOSPITAL,44.28,41.60825,2.67175
AZ,CANYON VISTA MEDICAL CENTER,41.5,41.60825,-0.10825
AZ,CHANDLER REGIONAL MEDICAL CENTER,41.24,41.60825,-0.36825
AZ,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,42.36,41.60825,0.75175
AZ,COBRE VALLEY REGIONAL MEDICAL CENTER,41.12,41.60825,-0.48825
AZ,COPPER QUEEN COMMUNITY HOSPITAL,43.44,41.60825,1.83175
AZ,"CORE INSTITUTE SPECIALTY HOSPITAL, THE",43.32,41.60825,1.71175
AZ,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,43.02,41.60825,1.41175
AZ,FLAGSTAFF MEDICAL CENTER,42.3,41.60825,0.69175
AZ,"FLORENCE HOSPITAL AT ANTHEM, LLC",39.88,41.60825,-1.72825
AZ,FORT DEFIANCE INDIAN HOSPITAL,39.4,41.60825,-2.20825
AZ,GILBERT HOSPITAL,40.04,41.60825,-1.56825
AZ,GREEN VALLEY HOSPITAL,41.26,41.60825,-0.34825
AZ,"HACIENDA CHILDREN'S HOSPITAL, INC.",40.96,41.60825,-0.64825
AZ,HAVASU REGIONAL MEDICAL CENTER,39.84,41.60825,-1.76825
AZ,HOLY CROSS HOSPITAL,42.5,41.60825,0.89175
AZ,HONORHEALTH DEER VALLEY MEDICAL CENTER,40.8,41.60825,-0.80825
AZ,HOPI HEALTH CARE CENTER,40.96,41.60825,-0.64825
AZ,HUHU KAM MEMORIAL HOSPITAL,40.96,41.60825,-0.64825
AZ,JOHN C. LINCOLN MEDICAL CENTER,40.94,41.60825,-0.66825
AZ,KINGMAN REGIONAL MEDICAL CENTER,41.56,41.60825,-0.04825
AZ,LA PAZ REGIONAL HOSPITAL,42.58,41.60825,0.97175
AZ,LITTLE COLORADO MEDICAL CENTER,41.96,41.60825,0.35175
AZ,"LOS NINOS HOSPITAL, INC.",40.96,41.60825,-0.64825
AZ,MARICOPA MEDICAL CENTER,39.76,41.60825,-1.84825
AZ,MAYO CLINIC HOSPITAL,44.8,41.60825,3.19175
AZ,MERCY GILBERT MEDICAL CENTER,42.02,41.60825,0.41175
AZ,"MOUNTAIN VISTA MEDICAL CENTER, LP",40.9,41.60825,-0.70825
AZ,MT. GRAHAM REGIONAL MEDICAL CENTER,41.82,41.60825,0.21175
AZ,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC.",41.5,41.60825,-0.10825
AZ,NORTHWEST MEDICAL CENTER,40.5,41.60825,-1.10825
AZ,O.A.S.I.S. HOSPITAL,44.1,41.60825,2.49175
AZ,ORO VALLEY HOSPITAL,41.86,41.60825,0.25175
AZ,PAGE HOSPITAL,42.32,41.60825,0.71175
AZ,PARKER INDIAN HEALTH CENTER,40.96,41.60825,-0.64825
AZ,PHOENIX CHILDREN'S HOSPITAL,40.96,41.60825,-0.64825
AZ,PHOENIX INDIAN MEDICAL CENTER,41.96,41.60825,0.35175
AZ,SAGE MEMORIAL HOSPITAL,39.1,41.60825,-2.50825
AZ,SAN CARLOS APACHE HEALTHCARE,42.62,41.60825,1.01175
AZ,SCOTTSDALE OSBORN MEDICAL CENTER,40.7,41.60825,-0.90825
AZ,SCOTTSDALE SHEA MEDICAL CENTER,41.76,41.60825,0.15175
AZ,SCOTTSDALE THOMPSON PEAK MEDICAL CENTER,42.82,41.60825,1.21175
AZ,SELLS HOSPITAL,40.96,41.60825,-0.64825
AZ,ST JOSEPH'S HOSPITAL,40.94,41.60825,-0.66825
AZ,ST LUKE'S MEDICAL CENTER,40.86,41.60825,-0.74825
AZ,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,42.1,41.60825,0.49175
AZ,ST. MARY'S HOSPITAL,40.94,41.60825,-0.66825
AZ,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,42.9,41.60825,1.29175
AZ,TUBA CITY REGIONAL HEALTH CARE CORPORATION,41.98,41.60825,0.37175
AZ,TUCSON MEDICAL CENTER,40.06,41.60825,-1.54825
AZ,VALLEY VIEW MEDICAL CENTER,42.14,41.60825,0.53175
AZ,VERDE VALLEY MEDICAL CENTER,42.02,41.60825,0.41175
AZ,WESTERN ARIZONA REGIONAL MEDICAL CENTER,40.6,41.60825,-1.00825
AZ,WHITE MOUNTAIN REGIONAL MEDICAL CENTER,42.68,41.60825,1.07175
AZ,WHITERIVER PHS INDIAN HOSPITAL,40.28,41.60825,-1.32825
AZ,WICKENBURG COMMUNITY HOSPITAL,43.24,41.60825,1.63175
AZ,YAVAPAI REGIONAL MEDICAL CENTER,41.72,41.60825,0.11175
AZ,YUMA REGIONAL MEDICAL CENTER,41.16,41.60825,-0.44825
CA,ADVENTIST HEALTH BAKERSFIELD,40.66,41.23222222,-0.572222222
CA,ADVENTIST HEALTH MEDICAL CENTER TEHACHAPI VALLEY,40.96,41.23222222,-0.272222222
CA,ADVENTIST HEALTH SIMI VALLEY,40.8,41.23222222,-0.432222222
CA,ADVENTIST HEALTH SONORA,41.24,41.23222222,0.007777778
CA,ADVENTIST MEDICAL CENTER,41.52,41.23222222,0.287777778
CA,ADVENTIST MEDICAL CENTER - REEDLEY,40.9,41.23222222,-0.332222222
CA,AHMC ANAHEIM REGIONAL MEDICAL CENTER,40.9,41.23222222,-0.332222222
CA,ALAMEDA HOSPITAL,40.56,41.23222222,-0.672222222
CA,ALHAMBRA HOSPITAL MEDICAL CENTER,40.86,41.23222222,-0.372222222
CA,ALTA BATES SUMMIT MEDICAL CENTER,41.36,41.23222222,0.127777778
CA,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,39.64,41.23222222,-1.592222222
CA,ALVARADO HOSPITAL MEDICAL CENTER,40.22,41.23222222,-1.012222222
CA,ANAHEIM GLOBAL MEDICAL CENTER,39.3,41.23222222,-1.932222222
CA,ANTELOPE VALLEY HOSPITAL,39.16,41.23222222,-2.072222222
CA,ARROWHEAD REGIONAL MEDICAL CENTER,40.96,41.23222222,-0.272222222
CA,BAKERSFIELD HEART HOSPITAL,41.68,41.23222222,0.447777778
CA,BAKERSFIELD MEMORIAL HOSPITAL,40.84,41.23222222,-0.392222222
CA,BANNER LASSEN MEDICAL CENTER,42.9,41.23222222,1.667777778
CA,BARSTOW COMMUNITY HOSPITAL,41.14,41.23222222,-0.092222222
CA,BARTON MEMORIAL HOSPITAL,42.9,41.23222222,1.667777778
CA,BEAR VALLEY COMMUNITY HOSPITAL,43,41.23222222,1.767777778
CA,BEVERLY HOSPITAL,40.46,41.23222222,-0.772222222
CA,CALIFORNIA HOSPITAL MEDICAL CENTER LA,39.88,41.23222222,-1.352222222
CA,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,40.44,41.23222222,-0.792222222
CA,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,40.48,41.23222222,-0.752222222
CA,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,40.92,41.23222222,-0.312222222
CA,CASA COLINA HOSPITAL,40.96,41.23222222,-0.272222222
CA,CATALINA ISLAND MEDICAL CENTER,40.96,41.23222222,-0.272222222
CA,CEDARS-SINAI MEDICAL CENTER,41.92,41.23222222,0.687777778
CA,CENTINELA HOSPITAL MEDICAL CENTER,39.62,41.23222222,-1.612222222
CA,CHAPMAN GLOBAL MEDICAL CENTER,39.14,41.23222222,-2.092222222
CA,CHILDREN'S HOSP OF LOS ANGELES,40.96,41.23222222,-0.272222222
CA,CHILDREN'S HOSPITAL & RESEARCH CENTER OAKLAND,40.96,41.23222222,-0.272222222
CA,CHILDREN'S HOSPITAL AT MISSION,40.96,41.23222222,-0.272222222
CA,CHILDREN'S HOSPITAL OF ORANGE COUNTY,40.96,41.23222222,-0.272222222
CA,CHINESE HOSPITAL,41.44,41.23222222,0.207777778
CA,CHINO VALLEY MEDICAL CENTER,41.14,41.23222222,-0.092222222
CA,CITRUS VALLEY MEDICAL CENTER-IC CAMPUS,41.18,41.23222222,-0.052222222
CA,CLOVIS COMMUNITY MEDICAL CENTER,42.36,41.23222222,1.127777778
CA,COALINGA REGIONAL MEDICAL CENTER,40.96,41.23222222,-0.272222222
CA,COAST PLAZA HOSPITAL,38.22,41.23222222,-3.012222222
CA,COLLEGE HOSPITAL COSTA MESA,40.96,41.23222222,-0.272222222
CA,COLLEGE MEDICAL CENTER,40,41.23222222,-1.232222222
CA,COLORADO RIVER MEDICAL CENTER,41.64,41.23222222,0.407777778
CA,COMMUNITY HOSPITAL OF HUNTINGTON PARK,39.46,41.23222222,-1.772222222
CA,COMMUNITY HOSPITAL OF LONG BEACH,38.58,41.23222222,-2.652222222
CA,COMMUNITY HOSPITAL OF SAN BERNARDINO,40.78,41.23222222,-0.452222222
CA,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,42.66,41.23222222,1.427777778
CA,COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA,40.98,41.23222222,-0.252222222
CA,COMMUNITY REGIONAL MEDICAL CENTER,40.98,41.23222222,-0.252222222
CA,CONTRA COSTA REGIONAL MEDICAL CENTER,40.32,41.23222222,-0.912222222
CA,CORONA REGIONAL MEDICAL CENTER,39.76,41.23222222,-1.472222222
CA,DAMERON HOSPITAL,40,41.23222222,-1.232222222
CA,DELANO REGIONAL MEDICAL CENTER,40.42,41.23222222,-0.812222222
CA,DESERT REGIONAL MEDICAL CENTER,40.14,41.23222222,-1.092222222
CA,DESERT VALLEY HOSPITAL,39.7,41.23222222,-1.532222222
CA,DOCTORS HOSPITAL OF MANTECA,41.92,41.23222222,0.687777778
CA,DOCTORS MEDICAL CENTER,41.02,41.23222222,-0.212222222
CA,DOMINICAN HOSPITAL,40.2,41.23222222,-1.032222222
CA,EAST LOS ANGELES DOCTORS HOSPITAL,39.9,41.23222222,-1.332222222
CA,EAST VALLEY GLENDORA HOSPITAL,36.4,41.23222222,-4.832222222
CA,EASTERN PLUMAS HOSPITAL - PORTOLA CAMPUS,40.96,41.23222222,-0.272222222
CA,EDEN MEDICAL CENTER,42.22,41.23222222,0.987777778
CA,EISENHOWER MEDICAL CENTER,41.94,41.23222222,0.707777778
CA,EL CAMINO HOSPITAL,42.78,41.23222222,1.547777778
CA,EL CENTRO REGIONAL MEDICAL CENTER,40.96,41.23222222,-0.272222222
CA,EMANUEL MEDICAL CENTER,40.34,41.23222222,-0.892222222
CA,ENCINO HOSPITAL MEDICAL CENTER,41.14,41.23222222,-0.092222222
CA,ENLOE MEDICAL CENTER,43.16,41.23222222,1.927777778
CA,FAIRCHILD MEDICAL CENTER,42,41.23222222,0.767777778
