Hospital Name,City,State,ZIP Code,County Name,Phone Number,MortalityRanked,PatientRanked,PSIRanked,SpendingRanked
ST CATHERINE HOSPITAL INC,EAST CHICAGO,IN,46312,LAKE,2193927004,7.81654720289,5.24195856227,5.91949761269,3.64750864512
PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER,CHICAGO,IL,60622,COOK,3127702000,7.7449308835,4.38822172175,6.37332752067,6.32956772348
VALLEY REGIONAL MEDICAL CENTER,BROWNSVILLE,TX,78526,CAMERON,9563507000,7.73892686858,4.04142098728,6.19639244052,5.95996036436
SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,SANTA MONICA,CA,90404,LOS ANGELES,3103194000,7.71722841355,6.97859923018,7.2780849491,5.92622270413
MERCY HOSPITAL,IOWA CITY,IA,52245,JOHNSON,3193390300,7.70940873487,5.51752771096,7.77226689134,8.88026769726
SCRIPPS GREEN HOSPITAL,LA JOLLA,CA,92037,SAN DIEGO,8584559100,7.70820024394,7.02347151884,6.55812575825,7.1377978825
READING HOSPITAL,READING,PA,19603,BERKS,6109888000,7.70493599695,5.36210345853,6.24736924367,7.23295966295
ST JOSEPH'S HOSPITAL HEALTH CENTER,SYRACUSE,NY,13203,ONONDAGA,3154485111,7.69682813696,6.28902673935,6.64662141795,7.77916674745
BAPTIST MEDICAL CENTER EAST,MONTGOMERY,AL,36117,MONTGOMERY,3342448330,7.68599986372,5.47638202698,7.13591820479,7.39479764238
ROCHESTER GENERAL HOSPITAL,ROCHESTER,NY,14621,MONROE,5859224000,7.67005511366,5.43645325479,7.09568958539,6.6608243061
SAN GABRIEL VALLEY MEDICAL CENTER,SAN GABRIEL,CA,91776,LOS ANGELES,6262895454,7.66948791055,5.06404824733,6.22715533536,2.32550234675
FALMOUTH HOSPITAL,FALMOUTH,MA,2540,BARNSTABLE,5085485300,7.65993183578,5.60500861593,4.92273321295,6.87296312658
IU HEALTH WEST HOSPITAL,AVON,IN,46123,HENDRICKS,3172173000,7.65180379436,5.48127743512,6.09921215559,6.17380053163
MEMORIAL REGIONAL HOSPITAL,HOLLYWOOD,FL,33021,BROWARD,9549872000,7.64718567735,6.21759138103,6.83085115363,5.91600077046
MAIN LINE HOSPITAL BRYN MAWR CAMPUS,BRYN MAWR,PA,19010,DELAWARE,6105263000,7.62826794847,6.03518778844,6.26102456812,6.18105117653
PRESENCE SAINT JOSEPH HOSPITAL - CHICAGO,CHICAGO,IL,60657,COOK,7736653000,7.6157581507,4.5976257355,6.63816293806,5.49452669022
"MEMORIAL HEALTHCARE SYSTEM, INC",CHATTANOOGA,TN,37404,HAMILTON,4234952525,7.61181692601,6.16633935752,5.86837439411,6.20507075821
ST RITA'S MEDICAL CENTER,LIMA,OH,45801,ALLEN,4192273361,7.6090008627,5.42943967644,4.79636512853,6.56324932561
BAPTIST MEDICAL CENTER JACKSONVILLE,JACKSONVILLE,FL,32207,DUVAL,9042022000,7.5998525728,6.65135683808,6.21313905786,6.92512128596
HARPER UNIVERSITY HOSPITAL,DETROIT,MI,48201,WAYNE,3137456211,7.5963500016,4.36847702702,5.41126040746,6.03092400703
AURORA ST LUKES MEDICAL CENTER,MILWAUKEE,WI,53215,MILWAUKEE,4146496000,7.59342705287,4.66375894231,3.41323859671,6.81208421651
HUNTINGTON BEACH HOSPITAL,HUNTINGTON BEACH,CA,92647,ORANGE,7148435000,7.57520426345,1.93794547064,6.25210953447,6.98263518779
ENCINO HOSPITAL MEDICAL CENTER,ENCINO,CA,91436,LOS ANGELES,8189955000,7.55671459748,5.34823940885,6.62708716079,6.73716735428
GARDEN GROVE HOSPITAL & MEDICAL CENTER,GARDEN GROVE,CA,92843,ORANGE,7145375160,7.55446775925,4.43583620608,7.1292258001,6.19263412367
TOURO INFIRMARY,NEW ORLEANS,LA,70115,ORLEANS,5048978247,7.55259859437,4.36196312328,5.75698603949,7.91969988063
GLENDALE ADVENTIST MEDICAL CENTER,GLENDALE,CA,91206,LOS ANGELES,8184098202,7.51736709833,5.73713257724,5.85354055608,5.77714040526
LONG ISLAND JEWISH MEDICAL CENTER,NEW HYDE PARK,NY,11040,QUEENS,7184707000,7.50601720823,5.28687895926,4.17771324567,5.71881334486
SOUTHWEST GENERAL HEALTH CENTER,MIDDLEBURG HEIGHTS,OH,44130,CUYAHOGA,4408168000,7.49437788096,5.8931199926,6.58979797417,8.26305777288
HACKENSACK UNIVERSITY MEDICAL CENTER,HACKENSACK,NJ,7601,BERGEN,5519962000,7.49013710256,6.71601324477,5.44239668883,5.95705455038
DOCTORS'  COMMUNITY HOSPITAL,LANHAM,MD,20706,PRINCE GEORGES,3015528085,7.48048737049,5.01610646303,5.99409688514,5.57240694354
ST ALEXIUS MEDICAL CENTER,HOFFMAN ESTATES,IL,60194,COOK,8478432000,7.47030323154,4.50788115818,7.13654871288,4.47819977966
INOVA ALEXANDRIA HOSPITAL,ALEXANDRIA,VA,22304,ALEXANDRIA CITY,7035043167,7.46248206335,4.87508991872,5.48036106209,7.14098918467
PENINSULA REGIONAL MEDICAL CENTER,SALISBURY,MD,21801,WICOMICO,4105437111,7.460935707,5.80885022937,8.3846782775,7.79828223403
LONGVIEW REGIONAL MEDICAL CENTER,LONGVIEW,TX,75605,GREGG,9037581818,7.44678977057,5.47733422442,5.51449897712,8.09057611901
UNIVERSITY OF MICHIGAN HEALTH SYSTEM,ANN ARBOR,MI,48109,WASHTENAW,7347641505,7.44473726246,4.98173163871,8.59633462492,6.38426256743
ST LUKES HOSPITAL OF KANSAS CITY,KANSAS CITY,MO,64111,JACKSON,8169322000,7.41767924559,6.1936606305,5.97815952369,6.30128549496
CITRUS VALLEY MEDICAL CENTER-IC CAMPUS,COVINA,CA,91723,LOS ANGELES,6268142468,7.41692604643,5.37815426795,4.45417190873,4.86845902168
INDIANA UNIVERSITY HEALTH NORTH HOSPITAL,CARMEL,IN,46032,HAMILTON,3176882000,7.39379237693,5.22700113271,7.09969628853,6.29630924853
METHODIST HOSPITALS INC,GARY,IN,46402,LAKE,2198864000,7.38579835792,4.64366138013,6.58839367779,6.0118818412
ST TAMMANY PARISH HOSPITAL,COVINGTON,LA,70433,SAINT TAMMANY,9858984000,7.38019826839,5.49872776935,7.51670352653,6.44306448234
MORRISTOWN MEDICAL CENTER,MORRISTOWN,NJ,7962,MORRIS,9739715450,7.37425500984,6.07284377397,7.23523203011,6.82182196356
BAYLOR SCOTT AND WHITE ALL SAINTS MEDICAL CENTER,FORT WORTH,TX,76104,TARRANT,8179262544,7.3725281774,4.68459045809,7.88589980804,5.52712625798
UNIVERSITY HOSPITALS - ELYRIA MEDICAL CENTER,ELYRIA,OH,44035,LORAIN,4403297500,7.36908892306,5.04054650805,5.58328508933,6.90825549155
SHARON REGIONAL HEALTH SYSTEM,SHARON,PA,16146,MERCER,7249833800,7.35606780763,3.59712677121,6.36486948387,8.06800069639
WILLIS KNIGHTON MEDICAL CENTER,SHREVEPORT,LA,71103,CADDO,3182124000,7.35155429077,4.36196312328,7.54671301537,6.76217266586
PROVIDENCE MEDICAL CENTER,KANSAS CITY,KS,66112,WYANDOTTE,9135964000,7.34859497031,4.8312497458,8.52748695633,5.85209602961
OLYMPIA MEDICAL CENTER,LOS ANGELES,CA,90036,LOS ANGELES,3106575900,7.3460406754,3.59822015108,7.28260315626,4.67906595016
ADVOCATE TRINITY HOSPITAL,CHICAGO,IL,60617,COOK,7739672000,7.32861422102,4.11898798979,6.2673275611,5.33958919532
"WEST CHESTER HOSPITAL, LLC",WEST CHESTER,OH,45069,BUTLER,5132983000,7.32309117297,5.44439710599,6.55563280892,6.18401278288
HOUSTON MEDICAL CENTER,WARNER ROBINS,GA,31093,HOUSTON,4789224281,7.31875334217,5.20701853109,7.03151912054,6.33982609943
LA PALMA INTERCOMMUNITY HOSPITAL,LA PALMA,CA,90623,ORANGE,7146707400,7.31833558476,5.27345226108,7.08995835039,6.88737565241
HOAG MEMORIAL HOSPITAL PRESBYTERIAN,NEWPORT BEACH,CA,92663,ORANGE,9497644624,7.31113493883,6.35038718893,6.09971906755,7.83816940739
FLORIDA HOSPITAL,ORLANDO,FL,32803,ORANGE,4073031976,7.30252060964,6.7411014154,7.09843240568,6.60668870201
PROVIDENCE TARZANA MEDICAL CENTER,TARZANA,CA,91356,LOS ANGELES,8188810800,7.30177620197,4.7499422267,5.69275817393,5.5909001316
TOLEDO HOSPITAL THE,TOLEDO,OH,43606,LUCAS,4192917463,7.30176178448,4.72644048742,6.35422684355,6.75309279683
SCOTTSDALE SHEA MEDICAL CENTER,SCOTTSDALE,AZ,85260,MARICOPA,4803233000,7.29482697515,5.53069927503,6.07137816671,5.81946921536
HOLY NAME MEDICAL CENTER,TEANECK,NJ,7666,BERGEN,2018333000,7.29248142224,6.07284377397,7.3969408797,6.71462683628
OSCEOLA REGIONAL MEDICAL CENTER,KISSIMMEE,FL,34741,OSCEOLA,4078462266,7.28999081803,4.46757212326,5.82685584335,7.0030404331
FLAGLER HOSPITAL,SAINT AUGUSTINE,FL,32086,SAINT JOHNS,9048194426,7.2850978714,5.00603958719,4.22561799692,6.76432859507
MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,HOUSTON,TX,77024,HARRIS,7132423000,7.28478336999,5.95597197014,7.08027594658,6.70424585928
MEMORIAL HOSPITAL WEST,PEMBROKE PINES,FL,33028,BROWARD,9544365000,7.28180759951,6.60648454942,3.69208688114,5.93514275748
EAST JEFFERSON GENERAL HOSPITAL,METAIRIE,LA,70006,JEFFERSON,5044544000,7.28000278426,4.55640970748,7.05824312757,7.52154655073
MILLS-PENINSULA MEDICAL CENTER,BURLINGAME,CA,94010,SAN MATEO,6506965270,7.27857047176,6.75423778688,6.7876949911,8.30027949364
BEAUMONT HOSPITAL - DEARBORN,DEARBORN,MI,48124,WAYNE,3135937125,7.2712648415,5.05651878648,7.37110157522,5.39450923876
NORTH VISTA HOSPITAL,NORTH LAS VEGAS,NV,89030,CLARK,7026575504,7.25873683798,4.96976895729,8.08285018336,6.85174429654
GARFIELD MEDICAL CENTER,MONTEREY PARK,CA,91754,LOS ANGELES,6265732222,7.24994987589,4.21147476278,6.35208745568,5.58459453588
MOUNTAINVIEW HOSPITAL,LAS VEGAS,NV,89128,CLARK,7022555065,7.24600350216,5.52319385077,6.24008630326,4.15587692507
OHIO STATE UNIVERSITY HOSPITALS,COLUMBUS,OH,43210,FRANKLIN,6142939700,7.23598272204,5.0555039376,7.56266263574,6.51190376045
MERCY REGIONAL MEDICAL CENTER,LORAIN,OH,44053,LORAIN,4409604000,7.23394748778,4.92088707162,7.30423864158,5.19110665679
PRESBYTERIAN INTERCOMMUNITY HOSPITAL,WHITTIER,CA,90602,LOS ANGELES,5266980811,7.2244368283,6.70936549822,4.16951814435,6.9326408217
ST JOHN'S RIVERSIDE HOSPITAL,YONKERS,NY,10701,WESTCHESTER,9149644444,7.22285797116,6.22919702113,7.46460489215,5.38213957325
SAINT LUKE'S SOUTH HOSPITAL,OVERLAND PARK,KS,66213,JOHNSON,9133177904,7.22153756506,5.32484492106,7.07232885657,6.91548970813
SHERMAN HOSPITAL,ELGIN,IL,60123,KANE,8477429800,7.21581998514,5.55490122693,7.48016743039,5.51231747815
ESSENTIA HEALTH-FARGO,FARGO,ND,58104,CASS,7013648000,7.21456868005,5.10786293952,6.3446517757,7.18692721589
VIRGINIA MASON MEDICAL CENTER,SEATTLE,WA,98101,KING,2062236600,7.20795859472,6.12826296801,8.20341403655,7.31443775786
"JOHNS HOPKINS HOSPITAL, THE",BALTIMORE,MD,21287,BALTIMORE CITY,4109559540,7.20748221411,6.66142371392,5.76186909355,8.28066030635
CLEVELAND CLINIC,CLEVELAND,OH,44195,CUYAHOGA,2164442200,7.19715092999,7.49356495483,8.18084467876,7.05868898952
GLENWOOD REGIONAL MEDICAL CENTER,WEST MONROE,LA,71291,OUACHITA,3183294600,7.19448487562,3.92819766623,4.13212998685,5.70936338006
MEMORIAL HOSPITAL PEMBROKE,PEMBROKE PINES,FL,33024,BROWARD,9549629650,7.18128449009,6.66631426763,7.00026042463,7.27665824752
ALHAMBRA HOSPITAL MEDICAL CENTER,ALHAMBRA,CA,91801,LOS ANGELES,6265701606,7.17851557018,5.1388353951,6.20205343855,5.50757618812
PALM BEACH GARDENS MEDICAL CENTER,PALM BEACH GARDENS,FL,33410,PALM BEACH,5616221411,7.1691543281,5.39493275558,6.41324259798,5.29017039501
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,LOS ANGELES,CA,90027,LOS ANGELES,2134133000,7.16353204304,3.59822015108,7.13807423551,4.56916842471
FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER,FOUNTAIN VALLEY,CA,92708,ORANGE,7149667200,7.16064735994,4.57045307206,5.85336600425,3.03127866797
MCLAREN - NORTHERN MICHIGAN,PETOSKEY,MI,49770,EMMET,2314874000,7.15818668841,5.52019910264,7.7471130855,7.82936998711
RIVERVIEW REGIONAL MEDICAL CENTER,GADSDEN,AL,35901,ETOWAH,2565435200,7.15575280226,4.05542621939,6.75992012159,5.3650714192
"CENTRA  HEALTH, INC",LYNCHBURG,VA,24501,LYNCHBURG CITY,4342004789,7.15379906701,5.47338710086,6.27906327187,7.88887787742
EAST ORANGE GENERAL HOSPITAL,EAST ORANGE,NJ,7018,ESSEX,9732664401,7.14615194709,2.6176775471,6.58315336312,8.21670981749
ST MARY MEDICAL CENTER,LONG BEACH,CA,90813,LOS ANGELES,5624919000,7.14390636,4.55549564251,7.39641766729,5.46219841891
ST MARY MEDICAL CENTER,APPLE VALLEY,CA,92307,SAN BERNARDINO,7602422311,7.14390636,4.55549564251,7.39641766729,5.46219841891
INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL,MUNCIE,IN,47303,DELAWARE,7657473111,7.13595890813,4.06032162754,6.11399535344,6.85615606877
YORK HOSPITAL,YORK,ME,3909,YORK,2073634321,7.12883682106,5.40859792455,6.21935248559,6.47466616273
ANDALUSIA REGIONAL HOSPITAL,ANDALUSIA,AL,36420,COVINGTON,3342228466,7.11978943336,4.6985956902,6.56953106253,7.36709806118
SHARP CHULA VISTA MEDICAL CENTER,CHULA VISTA,CA,91911,SAN DIEGO,6195025800,7.11918701687,6.24568518206,8.03388097473,6.28226366287
ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,OAK LAWN,IL,60453,COOK,7086848000,7.11816939896,5.07626348121,5.17094062098,4.80181196013
LEHIGH VALLEY HOSPITAL - HAZLETON,HAZLETON,PA,18201,LUZERNE,5705014000,7.11031295202,4.44970025576,4.80015996602,6.4359774036
LEHIGH VALLEY HOSPITAL - POCONO,EAST STROUDSBURG,PA,18301,MONROE,5704214000,7.11028748091,5.45184803585,7.40232503852,6.93411946571
MEMORIAL HOSPITAL OF GARDENA,GARDENA,CA,90247,LOS ANGELES,3105324200,7.11016759899,2.49137036412,5.6433465771,4.45476690232
LENOX HILL HOSPITAL,NEW YORK,NY,10021,NEW YORK,2124392345,7.10603297023,5.2420066706,5.66633830333,5.88883922952
LAKE HEALTH,CONCORD,OH,44077,LAKE,4409539600,7.10193592661,4.80122763519,6.51129664241,6.51843455602
"PIEDMONT NEWNAN HOSPITAL, INC",NEWNAN,GA,30265,COWETA,7704002300,7.09945871678,5.71557113591,6.17062946219,6.84517455662
YALE-NEW HAVEN HOSPITAL,NEW HAVEN,CT,6504,NEW HAVEN,2036884242,7.09666659395,5.35834505584,6.15973337932,6.48744773993
COMMUNITY FIRST MEDICAL CENTER,CHICAGO,IL,60634,COOK,7732827000,7.09517436284,2.66811732309,5.94777685645,4.70542642552
BAPTIST MEDICAL CENTER - BEACHES,JACKSONVILLE BEACH,FL,32250,DUVAL,9042472900,7.0890594298,6.36716567656,6.7078995253,6.87827971773
ROPER HOSPITAL,CHARLESTON,SC,29401,CHARLESTON,8437242800,7.08899007402,6.16208977005,7.97764075563,6.3466188944
SWEDISH MEDICAL CENTER,SEATTLE,WA,98122,KING,2063866000,7.0818761404,5.2607320539,7.53761962331,6.68252698653
ST ELIZABETH MEDICAL CENTER NORTH,EDGEWOOD,KY,41017,KENTON,8593012000,7.07729749096,5.22699029381,6.79661787958,6.03551199632
ELLIOT HOSPITAL,MANCHESTER,NH,3103,HILLSBOROUGH,6036695300,7.06855282158,5.1474007604,7.24277171613,6.70858896066
HENRY FORD ALLEGIANCE HEALTH,JACKSON,MI,49201,JACKSON,5177884800,7.06815954048,4.2787324497,6.35535758364,6.87947703147
SAINT MICHAEL'S MEDICAL CENTER,NEWARK,NJ,7102,ESSEX,9738775350,7.06601448086,5.41471687361,6.11299127757,5.89625059162
MEMORIAL HOSPITAL,CARTHAGE,IL,62321,HANCOCK,2173578850,7.05981990228,5.55490122693,6.44218822023,7.41202832253
MEMORIAL HOSPITAL,CHESTER,IL,62233,RANDOLPH,6188264581,7.05981990228,5.55490122693,6.44218822023,7.41202832253
MEMORIAL HOSPITAL,BELLEVILLE,IL,62226,SAINT CLAIR,6182337750,7.05981990228,5.55490122693,6.44218822023,7.41202832253
UT SOUTHWESTERN UNIVERSITY HOSPITAL,DALLAS,TX,75390,DALLAS,2146335555,7.0563140063,6.195290843,6.61032869407,6.76189702017
SILVER CROSS HOSPITAL  AND MEDICAL CENTERS,NEW LENOX,IL,60451,WILL,8153001100,7.0549743819,6.00362411353,7.73432833162,5.90979520851
CATHOLIC MEDICAL CENTER,MANCHESTER,NH,3102,HILLSBOROUGH,6036683545,7.05477575443,4.60893329647,7.15335418104,7.38914289899
AVENTURA HOSPITAL AND MEDICAL CENTER,AVENTURA,FL,33180,MIAMI-DADE,3056827000,7.04990632547,4.30304039817,6.63144582085,4.45760655979
DOYLESTOWN HOSPITAL,DOYLESTOWN,PA,18901,BUCKS,2153452200,7.03884101534,6.06510264754,7.94401980943,8.54384797359
ST ELIZABETH FLORENCE,FLORENCE,KY,41042,BOONE,8592125220,7.03699968637,5.21203286426,5.18813613193,6.75795310614
BOTHWELL REGIONAL HEALTH CENTER,SEDALIA,MO,65302,PETTIS,6608268833,7.03575647182,5.5504911597,6.01876296631,8.84108937176
SCRIPPS MERCY HOSPITAL,SAN DIEGO,CA,92103,SAN DIEGO,6192948111,7.03044256253,5.10892053599,6.33292703484,5.7253444404
LANCASTER GENERAL HOSPITAL,LANCASTER,PA,17604,LANCASTER,7172995511,7.02698229617,5.03304000835,7.81514013219,7.36627797251
PARK PLAZA HOSPITAL,HOUSTON,TX,77004,HARRIS,7135275019,7.02435791961,4.43031415568,6.55890303758,5.64152778037
ESKENAZI HEALTH,INDIANAPOLIS,IN,46202,MARION,3178804818,7.01319867831,4.38938507772,4.70022617957,5.90063311667
JUPITER MEDICAL CENTER,JUPITER,FL,33458,PALM BEACH,5617472234,7.01283551658,6.17271909236,7.49110018928,6.17182779701
BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,PATCHOGUE,NY,11772,SUFFOLK,6316547100,7.01252589035,3.58173199015,6.41133225568,4.12349762707
AVERA HEART HOSPITAL OF SOUTH DAKOTA,SIOUX FALLS,SD,57108,MINNEHAHA,6059777000,7.01093166472,7.21793218696,5.88849411828,6.36124044749
LOS ANGELES COMMUNITY HOSPITAL,LOS ANGELES,CA,90023,LOS ANGELES,3232670477,7.01070974918,0.457159944835,6.94839009733,5.55621935513
"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",ATLANTA,GA,30342,FULTON,6788435720,7.00692978363,5.32667796752,8.80119277581,7.45546614262
MISSION REGIONAL MEDICAL CENTER,MISSION,TX,78572,HIDALGO,9563239000,7.00229278396,5.25297278112,6.42355151532,6.19079020759
GENESIS MEDICAL CENTER-DAVENPORT,DAVENPORT,IA,52803,SCOTT,5634211000,6.98612340782,4.29101848757,6.00087457184,6.19813751673
TOMBALL REGIONAL MEDICAL CENTER,TOMBALL,TX,77375,HARRIS,2813511623,6.9813282024,4.90895190139,4.61030703621,5.10690334305
DOCTORS HOSPITAL AT RENAISSANCE,EDINBURG,TX,78539,HIDALGO,9563628677,6.97984971547,4.68459045809,6.84063641546,5.70503413729
MERCY HOSPITAL AND MEDICAL CENTER,CHICAGO,IL,60616,COOK,3125672000,6.96907739531,3.32624422345,6.10323540758,6.64372151037
UNITED HOSPITAL CENTER,BRIDGEPORT,WV,26330,HARRISON,6813421000,6.96623437093,4.77190353173,7.94401531808,7.32497190202
CORAL GABLES HOSPITAL,CORAL GABLES,FL,33134,MIAMI-DADE,3054458461,6.95973091716,5.46971990335,7.01581567869,4.90913225349
EMORY UNIVERSITY HOSPITAL MIDTOWN,ATLANTA,GA,30308,FULTON,4046864411,6.95429207777,4.6236787785,4.34957714515,6.39364886292
