Hospital Name,City,State,ZIP Code,County Name,Phone Number
EVERGREEN MEDICAL CENTER,EVERGREEN,AL,36401,CONECUH,2515782480
ANDALUSIA REGIONAL HOSPITAL,ANDALUSIA,AL,36420,COVINGTON,3342228466
MIZELL MEMORIAL HOSPITAL,OPP,AL,36467,COVINGTON,3344933541
CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,36049,CRENSHAW,3343353374
CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,35058,CULLMAN,2567372000
DALE MEDICAL CENTER,OZARK,AL,36360,DALE,3347742601
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,SELMA,AL,36701,DALLAS,3344184100
DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,35968,DE KALB,2568453150
COMMUNITY HOSPITAL INC,TALLASSEE,AL,36078,ELMORE,3342836541
ELMORE COMMUNITY HOSPITAL,WETUMPKA,AL,36092,ELMORE,3345674311
ATMORE COMMUNITY HOSPITAL,ATMORE,AL,36502,ESCAMBIA,2513682500
D W MCMILLAN MEMORIAL HOSPITAL,BREWTON,AL,36426,ESCAMBIA,2518678061
GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,35903,ETOWAH,2564944000
RIVERVIEW REGIONAL MEDICAL CENTER,GADSDEN,AL,35901,ETOWAH,2565435200
FAYETTE MEDICAL CENTER,FAYETTE,AL,35555,FAYETTE,2059325966
RED BAY HOSPITAL,RED BAY,AL,35582,FRANKLIN,2563569532
RUSSELLVILLE HOSPITAL,RUSSELLVILLE,AL,35653,FRANKLIN,2563321611
WIREGRASS MEDICAL CENTER,GENEVA,AL,36340,GENEVA,3346843655
GREENE COUNTY HOSPITAL,EUTAW,AL,35462,GREENE,2053723388
HALE COUNTY HOSPITAL,GREENSBORO,AL,36744,HALE,3346243024
FLOWERS HOSPITAL,DOTHAN,AL,36305,HOUSTON,3347935000
SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,36301,HOUSTON,3347938701
HIGHLANDS MEDICAL CENTER,SCOTTSBORO,AL,35768,JACKSON,2562594444
BROOKWOOD BAPTIST MEDICAL CENTER,BIRMINGHAM,AL,35209,JEFFERSON,2058771000
CALLAHAN EYE HOSPITAL,BIRMINGHAM,AL,35233,JEFFERSON,2053258100
CHILDREN'S HOSPITAL OF ALABAMA,BIRMINGHAM,AL,35233,JEFFERSON,2059399100
GRANDVIEW MEDICAL CENTER,BIRMINGHAM,AL,35243,JEFFERSON,2055921000
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",BESSEMER,AL,35021,JEFFERSON,2054817000
PRINCETON BAPTIST MEDICAL CENTER,BIRMINGHAM,AL,35211,JEFFERSON,2057833800
ST VINCENT'S BIRMINGHAM,BIRMINGHAM,AL,35205,JEFFERSON,2059397000
ST VINCENT'S EAST,BIRMINGHAM,AL,35235,JEFFERSON,2058383122
UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,AL,35233,JEFFERSON,2059344011
ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,35631,LAUDERDALE,2567688400
LAWRENCE MEDICAL CENTER,MOULTON,AL,35650,LAWRENCE,2569742200
EAST ALABAMA MEDICAL CENTER,OPELIKA,AL,36801,LEE,3347493411
ATHENS LIMESTONE HOSPITAL,ATHENS,AL,35611,LIMESTONE,2562339292
NORTH ALABAMA SPECIALITY HOSPITAL,ATHENS,AL,35611,LIMESTONE,2562339292
CRESTWOOD MEDICAL CENTER,HUNTSVILLE,AL,35801,MADISON,2568823100
HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,35801,MADISON,2562651000
BRYAN W. WHITFIELD MEMORIAL HOSPITAL,DEMOPOLIS,AL,36732,MARENGO,3342894000
MARION REGIONAL MEDICAL CENTER,HAMILTON,AL,35570,MARION,2059216200
NORTHWEST MEDICAL CENTER,WINFIELD,AL,35594,MARION,2054877736
MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,35957,MARSHALL,2565938310
MOBILE INFIRMARY MEDICAL CENTER,MOBILE,AL,36652,MOBILE,2514354700
PROVIDENCE HOSPITAL,MOBILE,AL,36608,MOBILE,2516331000
SPRINGHILL MEMORIAL HOSPITAL,MOBILE,AL,36608,MOBILE,2513449630
UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS,MOBILE,AL,36604,MOBILE,2514151000
UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,MOBILE,AL,36617,MOBILE,2514717110
MONROE COUNTY HOSPITAL,MONROEVILLE,AL,36460,MONROE,2515753111
BAPTIST MEDICAL CENTER EAST,MONTGOMERY,AL,36117,MONTGOMERY,3342448330
BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,36116,MONTGOMERY,3342882100
JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,36106,MONTGOMERY,3342938000
DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,DECATUR,AL,35601,MORGAN,2563412000
PICKENS COUNTY MEDICAL CENTER,CARROLLTON,AL,35447,PICKENS,2053678111
TROY REGIONAL MEDICAL CENTER,TROY,AL,36081,PIKE,3346705000
WEDOWEE HOSPITAL,WEDOWEE,AL,36278,RANDOLPH,2563572111
JACK HUGHSTON MEMORIAL HOSPITAL,PHENIX CITY,AL,36867,RUSSELL,3347323000
ST VINCENT'S ST CLAIR,PELL CITY,AL,35125,SAINT CLAIR,2053383301
SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,35007,SHELBY,2056208100
HILL HOSPITAL OF SUMTER COUNTY,YORK,AL,36925,SUMTER,2053925263
CITIZENS BAPTIST MEDICAL CENTER,TALLADEGA,AL,35161,TALLADEGA,2567614542
COOSA VALLEY MEDICAL CENTER,SYLACAUGA,AL,35150,TALLADEGA,2562495000
LAKE MARTIN COMMUNITY HOSPITAL,DADEVILLE,AL,36853,TALLAPOOSA,2568257821
RUSSELL HOSPITAL,ALEXANDER CITY,AL,35010,TALLAPOOSA,2563297100
D C H REGIONAL MEDICAL CENTER,TUSCALOOSA,AL,35401,TUSCALOOSA,2057597111
WALKER BAPTIST MEDICAL CENTER,JASPER,AL,35502,WALKER,2053874000
WASHINGTON COUNTY HOSPITAL,CHATOM,AL,36518,WASHINGTON,2518472223
J PAUL JONES HOSPITAL,CAMDEN,AL,36726,WILCOX,3346824131
LAKELAND COMMUNITY HOSPITAL,HALEYVILLE,AL,35565,WINSTON,2054857117
BAPTIST HEALTH MEDICAL CENTER-STUTTGART,STUTTGART,AR,72160,ARKANSAS,8706733511
"DEWITT HOSPITAL & NURSING HOME, INC",DE WITT,AR,72042,ARKANSAS,8709463571
ASHLEY COUNTY MEDICAL CENTER,CROSSETT,AR,71635,ASHLEY,8703644111
BAXTER REGIONAL MEDICAL CENTER,MOUNTAIN HOME,AR,72653,BAXTER,8705081000
MERCY HOSPITAL NORTHWEST ARKANSAS,ROGERS,AR,72758,BENTON,4793388000
OZARKS COMMUNITY HOSPITAL OF GRAVETTE,GRAVETTE,AR,72736,BENTON,4797875291
SILOAM SPRINGS REGIONAL HOSPITAL,SILOAM SPRINGS,AR,72761,BENTON,4795244141
NORTH ARKANSAS REGIONAL MEDICAL CENTER,HARRISON,AR,72601,BOONE,8704144000
BRADLEY COUNTY MEDICAL CENTER,WARREN,AR,71671,BRADLEY,8702263731
"EUREKA SPRINGS HOSPITAL, LLC",EUREKA SPRINGS,AR,72632,CARROLL,4792537400
MERCY HOSPITAL BERRYVILLE,BERRYVILLE,AR,72616,CARROLL,8704233355
CHICOT MEMORIAL MEDICAL CENTER,LAKE VILLAGE,AR,71653,CHICOT,8702655351
BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA,ARKADELPHIA,AR,71923,CLARK,8702452622
PIGGOTT COMMUNITY HOSPITAL,PIGGOTT,AR,72454,CLAY,8705983881
BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS,HEBER SPRINGS,AR,72543,CLEBURNE,5018873000
MAGNOLIA HOSPITAL,MAGNOLIA,AR,71754,COLUMBIA,8702353000
CHI ST VINCENT MORRILTON,MORRILTON,AR,72110,CONWAY,5019772300
NEA BAPTIST MEMORIAL HOSPITAL,JONESBORO,AR,72401,CRAIGHEAD,8709727000
ST BERNARDS MEDICAL CENTER,JONESBORO,AR,72401,CRAIGHEAD,8709724100
SPARKS MEDICAL CENTER - VAN BUREN,VAN BUREN,AR,72956,CRAWFORD,4794743401
CROSSRIDGE COMMUNITY HOSPITAL,WYNNE,AR,72396,CROSS,8702383300
DALLAS COUNTY MEDICAL CENTER,FORDYCE,AR,71742,DALLAS,8703526300
DELTA MEMORIAL HOSPITAL,DUMAS,AR,71639,DESHA,8703824303
MCGEHEE HOSPITAL,MCGEHEE,AR,71654,DESHA,8702225600
DREW MEMORIAL HOSPITAL,MONTICELLO,AR,71655,DREW,8703672411
BAPTIST HEALTH MEDICAL CENTER-CONWAY,CONWAY,AR,72032,FAULKNER,5015852000
CONWAY REGIONAL MEDICAL CENTER,CONWAY,AR,72034,FAULKNER,5013293831
MERCY HOSPITAL TURNER MEMORIAL,OZARK,AR,72949,FRANKLIN,4796674138
FULTON COUNTY HOSPITAL,SALEM,AR,72576,FULTON,8708952691
CHI ST. VINCENT HOSPITAL HOT SPRINGS,HOT SPRINGS,AR,71903,GARLAND,5016221000
LEVI HOSPITAL,HOT SPRINGS,AR,71901,GARLAND,5016241281
NATIONAL PARK MEDICAL CENTER,HOT SPRINGS,AR,71901,GARLAND,5013211000
ARKANSAS METHODIST MEDICAL CENTER,PARAGOULD,AR,72450,GREENE,8702397000
WADLEY REGIONAL MEDICAL CENTER AT HOPE,HOPE,AR,71801,HEMPSTEAD,8707223800
BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,MALVERN,AR,72104,HOT SPRING,5013321000
HOWARD MEMORIAL HOSPITAL,NASHVILLE,AR,71852,HOWARD,8708454400
WHITE RIVER MEDICAL CENTER,BATESVILLE,AR,72503,INDEPENDENCE,8702621200
"IZARD COUNTY MEDICAL CENTER, LLC",CALICO ROCK,AR,72519,IZARD,8702973726
JEFFERSON REGIONAL MEDICAL CENTER,PINE BLUFF,AR,71603,JEFFERSON,8705417100
JOHNSON REGIONAL MEDICAL CENTER,CLARKSVILLE,AR,72830,JOHNSON,4797545454
LAWRENCE MEMORIAL HOSPITAL,WALNUT RIDGE,AR,72476,LAWRENCE,8708861200
LITTLE RIVER MEMORIAL HOSPITAL,ASHDOWN,AR,71822,LITTLE RIVER,8708985011
MERCY HOSPITAL BOONEVILLE,BOONEVILLE,AR,72927,LOGAN,4796752800
NORTH LOGAN MERCY HOSPITAL,PARIS,AR,72855,LOGAN,4799636101
GREAT RIVER MEDICAL CENTER,BLYTHEVILLE,AR,72315,MISSISSIPPI,8708387300
SOUTH MISSISSISSPI COUNTY REGIONAL MEDICAL CENTER,OSCEOLA,AR,72370,MISSISSIPPI,8705637000
OUACHITA COUNTY MEDICAL CENTER,CAMDEN,AR,71701,OUACHITA,8708361000
HELENA REGIONAL MEDICAL CENTER,HELENA,AR,72342,PHILLIPS,8703385800
MENA REGIONAL HEALTH SYSTEM,MENA,AR,71953,POLK,4793946100
ST MARYS REGIONAL MEDICAL CENTER,RUSSELLVILLE,AR,72801,POPE,4799682841
ARKANSAS CHILDREN'S HOSPITAL,LITTLE ROCK,AR,72202,PULASKI,5013641100
"ARKANSAS HEART HOSPITAL, LLC",LITTLE ROCK,AR,72211,PULASKI,5012197000
ARKANSAS SURGICAL HOSPITAL,NO LITTLE ROCK,AR,72118,PULASKI,5017488000
BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,NORTH LITTLE ROCK,AR,72117,PULASKI,5012023000
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,LITTLE ROCK,AR,72205,PULASKI,5012022000
CHI-ST VINCENT INFIRMARY,LITTLE ROCK,AR,72205,PULASKI,5015523000
NORTH METRO MEDICAL CENTER,JACKSONVILLE,AR,72076,PULASKI,5019857000
ST VINCENT MEDICAL CENTER/NORTH,SHERWOOD,AR,72120,PULASKI,5015527100
UAMS MEDICAL CENTER,LITTLE ROCK,AR,72205,PULASKI,5016865000
FIVE RIVERS MEDICAL CENTER,POCAHONTAS,AR,72455,RANDOLPH,8708926000
FORREST CITY MEDICAL CENTER,FORREST CITY,AR,72335,SAINT FRANCIS,8702610000
SALINE MEMORIAL HOSPITAL,BENTON,AR,72015,SALINE,5017766000
MERCY HOSPITAL WALDRON,WALDRON,AR,72958,SCOTT,4796374135
MERCY HOSPITAL FORT SMITH,FORT SMITH,AR,72917,SEBASTIAN,4793146000
SPARKS REGIONAL MEDICAL CENTER,FORT SMITH,AR,72902,SEBASTIAN,4794414000
"DE QUEEN MEDICAL CENTER, INC",DE QUEEN,AR,71832,SEVIER,8705844111
STONE COUNTY MEDICAL CENTER,MOUNTAIN VIEW,AR,72560,STONE,8702694361
MEDICAL CENTER SOUTH ARKANSAS,EL DORADO,AR,71731,UNION,8708632000
OZARK HEALTH,CLINTON,AR,72031,VAN BUREN,5017457000
NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,FAYETTEVILLE,AR,72703,WASHINGTON,4795717002
NORTHWEST MEDICAL CENTER-SPRINGDALE,SPRINGDALE,AR,72764,WASHINGTON,4797515711
WASHINGTON REGIONAL MEDICAL CENTER,FAYETTEVILLE,AR,72703,WASHINGTON,4794635113
WHITE COUNTY MEDICAL CENTER,SEARCY,AR,72143,WHITE,5012783100
CHAMBERS MEMORIAL HOSPITAL,DANVILLE,AR,72833,YELL,4794952241
RIVER VALLEY MEDICAL CENTER,DARDANELLE,AR,72834,YELL,4792294677
LBJ TROPICAL MEDICAL CENTER,PAGO PAGO,AS,96799,,6846334590
CHINLE COMPREHENSIVE HEALTH CARE FACILITY,CHINLE,AZ,86503,APACHE,9286747001
FORT DEFIANCE INDIAN HOSPITAL,FORT DEFIANCE,AZ,86504,APACHE,9287298000
SAGE MEMORIAL HOSPITAL,GANADO,AZ,86505,APACHE,9287554541
WHITE MOUNTAIN REGIONAL MEDICAL CENTER,SPRINGERVILLE,AZ,85938,APACHE,9283334368
BENSON HOSPITAL,BENSON,AZ,85602,COCHISE,5205862261
CANYON VISTA MEDICAL CENTER,SIERRA VISTA,AZ,85635,COCHISE,5204173001
COPPER QUEEN COMMUNITY HOSPITAL,BISBEE,AZ,85603,COCHISE,5204326401
"NORTHERN COCHISE COMMUNITY HOSPITAL, INC.",WILLCOX,AZ,85643,COCHISE,5203843541
FLAGSTAFF MEDICAL CENTER,FLAGSTAFF,AZ,86001,COCONINO,9287793366
PAGE HOSPITAL,PAGE,AZ,86040,COCONINO,9286452424
TUBA CITY REGIONAL HEALTH CARE CORPORATION,TUBA CITY,AZ,86045,COCONINO,9282832501
BANNER PAYSON MEDICAL CENTER,PAYSON,AZ,85541,GILA,9284743222
COBRE VALLEY REGIONAL MEDICAL CENTER,GLOBE,AZ,85501,GILA,9284021122
SAN CARLOS APACHE HEALTHCARE,PERIDOT,AZ,85542,GILA,9284751200
MT. GRAHAM REGIONAL MEDICAL CENTER,SAFFORD,AZ,85546,GRAHAM,9283484000
LA PAZ REGIONAL HOSPITAL,PARKER,AZ,85344,LA PAZ,9286699201
PARKER INDIAN HEALTH CENTER,PARKER,AZ,85344,LA PAZ,9286692137
ABRAZO ARROWHEAD CAMPUS,GLENDALE,AZ,85308,MARICOPA,6235611000
ABRAZO CENTRAL CAMPUS,PHOENIX,AZ,85015,MARICOPA,6022490212
ABRAZO MARYVALE CAMPUS,PHOENIX,AZ,85031,MARICOPA,6238485000
ABRAZO SCOTTSDALE CAMPUS,PHOENIX,AZ,85032,MARICOPA,6029235000
ABRAZO WEST CAMPUS,GOODYEAR,AZ,85395,MARICOPA,6238821515
ARIZONA SPECIALTY HOSPITAL,CHANDLER,AZ,85224,MARICOPA,4806039000
ARIZONA SPINE AND JOINT HOSPITAL,MESA,AZ,85206,MARICOPA,4808324770
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,PHOENIX,AZ,85006,MARICOPA,6022392000
BANNER BAYWOOD MEDICAL CENTER,MESA,AZ,85206,MARICOPA,4806845898
BANNER BOSWELL MEDICAL CENTER,SUN CITY,AZ,85351,MARICOPA,6238324000
BANNER DEL E. WEBB MEDICAL CENTER,SUN CITY WEST,AZ,85375,MARICOPA,6235244000
BANNER DESERT MEDICAL CENTER,MESA,AZ,85202,MARICOPA,4804123000
BANNER ESTRELLA MEDICAL CENTER,PHOENIX,AZ,85037,MARICOPA,6233274000
BANNER GATEWAY MEDICAL CENTER,GILBERT,AZ,85234,MARICOPA,4806845795
BANNER HEART HOSPITAL,MESA,AZ,85206,MARICOPA,4808545050
BANNER THUNDERBIRD MEDICAL CENTER,GLENDALE,AZ,85306,MARICOPA,4806845898
CHANDLER REGIONAL MEDICAL CENTER,CHANDLER,AZ,85224,MARICOPA,4807283000
"CORE INSTITUTE SPECIALTY HOSPITAL, THE",PHOENIX,AZ,85015,MARICOPA,6027956020
DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,LAVEEN,AZ,85339,MARICOPA,6235845100
GILBERT HOSPITAL,GILBERT,AZ,85295,MARICOPA,4808403715
"HACIENDA CHILDREN'S HOSPITAL, INC.",MESA,AZ,85210,MARICOPA,6022434231
HONORHEALTH DEER VALLEY MEDICAL CENTER,PHOENIX,AZ,85027,MARICOPA,6238796100
JOHN C. LINCOLN MEDICAL CENTER,PHOENIX,AZ,85020,MARICOPA,6023315862
"LOS NINOS HOSPITAL, INC.",PHOENIX,AZ,85016,MARICOPA,6029547311
MARICOPA MEDICAL CENTER,PHOENIX,AZ,85008,MARICOPA,6023445011
MAYO CLINIC HOSPITAL,PHOENIX,AZ,85054,MARICOPA,4803424201
MERCY GILBERT MEDICAL CENTER,GILBERT,AZ,85296,MARICOPA,4807288000
"MOUNTAIN VISTA MEDICAL CENTER, LP",MESA,AZ,85209,MARICOPA,4803586100
O.A.S.I.S. HOSPITAL,PHOENIX,AZ,85008,MARICOPA,6027977700
PHOENIX CHILDREN'S HOSPITAL,PHOENIX,AZ,85016,MARICOPA,6029331000
PHOENIX INDIAN MEDICAL CENTER,PHOENIX,AZ,85016,MARICOPA,6022631200
SCOTTSDALE OSBORN MEDICAL CENTER,SCOTTSDALE,AZ,85251,MARICOPA,4808824004
SCOTTSDALE SHEA MEDICAL CENTER,SCOTTSDALE,AZ,85260,MARICOPA,4803233000
SCOTTSDALE THOMPSON PEAK MEDICAL CENTER,SCOTTSDALE,AZ,85255,MARICOPA,4803247001
ST LUKE'S MEDICAL CENTER,PHOENIX,AZ,85006,MARICOPA,6022518156
ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,PHOENIX,AZ,85013,MARICOPA,6024065001
WICKENBURG COMMUNITY HOSPITAL,WICKENBURG,AZ,85390,MARICOPA,9286845421
HAVASU REGIONAL MEDICAL CENTER,LAKE HAVASU CITY,AZ,86403,MOHAVE,9288558185
KINGMAN REGIONAL MEDICAL CENTER,KINGMAN,AZ,86409,MOHAVE,9287572101
VALLEY VIEW MEDICAL CENTER,FORT MOHAVE,AZ,86426,MOHAVE,9287882273
WESTERN ARIZONA REGIONAL MEDICAL CENTER,BULLHEAD CITY,AZ,86442,MOHAVE,9287632273
HOPI HEALTH CARE CENTER,POLACCA,AZ,86042,NAVAJO,9287376000
LITTLE COLORADO MEDICAL CENTER,WINSLOW,AZ,86047,NAVAJO,9282894691
SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,SHOW LOW,AZ,85901,NAVAJO,9285376399
WHITERIVER PHS INDIAN HOSPITAL,WHITERIVER,AZ,85941,NAVAJO,9283384911
BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,TUCSON,AZ,85713,PIMA,5208742000
BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,TUCSON,AZ,85724,PIMA,5208744189
GREEN VALLEY HOSPITAL,GREEN VALLEY,AZ,85614,PIMA,5203934710
NORTHWEST MEDICAL CENTER,TUCSON,AZ,85741,PIMA,5204698100
ORO VALLEY HOSPITAL,ORO VALLEY,AZ,85755,PIMA,5209013549
SELLS HOSPITAL,SELLS,AZ,85634,PIMA,5203627003
ST JOSEPH'S HOSPITAL,TUCSON,AZ,85711,PIMA,5208733000
ST. MARY'S HOSPITAL,TUCSON,AZ,85745,PIMA,5208723000
TUCSON MEDICAL CENTER,TUCSON,AZ,85712,PIMA,5203275461
BANNER CASA GRANDE MEDICAL CENTER,CASA GRANDE,AZ,85222,PINAL,5203816300
BANNER GOLDFIELD MEDICAL CENTER,APACHE JUNCTION,AZ,85120,PINAL,4807333300
BANNER IRONWOOD MEDICAL CENTER,QUEEN CREEK,AZ,85140,PINAL,4803944030
"FLORENCE HOSPITAL AT ANTHEM, LLC",FLORENCE,AZ,85132,PINAL,5204242060
HUHU KAM MEMORIAL HOSPITAL,SACATON,AZ,85147,PINAL,5205623321
HOLY CROSS HOSPITAL,NOGALES,AZ,85621,SANTA CRUZ,5202853000
VERDE VALLEY MEDICAL CENTER,COTTONWOOD,AZ,86326,YAVAPAI,9286396058
YAVAPAI REGIONAL MEDICAL CENTER,PRESCOTT,AZ,86301,YAVAPAI,9284452700
YUMA REGIONAL MEDICAL CENTER,YUMA,AZ,85364,YUMA,9283367600
ALAMEDA HOSPITAL,ALAMEDA,CA,94501,ALAMEDA,5105223700
ALTA BATES SUMMIT MEDICAL CENTER,OAKLAND,CA,94609,ALAMEDA,5106554000
ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,BERKELEY,CA,94705,ALAMEDA,5102044444
CHILDREN'S HOSPITAL & RESEARCH CENTER OAKLAND,OAKLAND,CA,94609,ALAMEDA,5104283000
EDEN MEDICAL CENTER,CASTRO VALLEY,CA,94546,ALAMEDA,5105371234
HIGHLAND HOSPITAL,OAKLAND,CA,94602,ALAMEDA,5104374800
KAISER FOUNDATION HOSPITAL - FREMONT,FREMONT,CA,94538,ALAMEDA,5107844000
KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,OAKLAND,CA,94611,ALAMEDA,5107521000
KAISER FOUNDATION HOSPITAL - SAN LEANDRO,SAN LEANDRO,CA,94577,ALAMEDA,5104541000
SAN LEANDRO HOSPITAL,SAN LEANDRO,CA,94578,ALAMEDA,5103576500
ST ROSE HOSPITAL,HAYWARD,CA,94545,ALAMEDA,5107826200
STANFORD HEALTH CARE - VALLEYCARE,PLEASANTON,CA,94588,ALAMEDA,9254477000
WASHINGTON HOSPITAL,FREMONT,CA,94538,ALAMEDA,5107971111
SUTTER AMADOR HOSPITAL,JACKSON,CA,95642,AMADOR,2092237500
ENLOE MEDICAL CENTER,CHICO,CA,95926,BUTTE,5303327300
FEATHER RIVER HOSPITAL,PARADISE,CA,95969,BUTTE,5308779361
ORCHARD HOSPITAL,GRIDLEY,CA,95948,BUTTE,5308465671
OROVILLE HOSPITAL,OROVILLE,CA,95966,BUTTE,5305338500
MARK TWAIN MEDICAL CENTER,SAN ANDREAS,CA,95249,CALAVERAS,2097542515
CONTRA COSTA REGIONAL MEDICAL CENTER,MARTINEZ,CA,94553,CONTRA COSTA,9253705000
JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,CONCORD,CA,94520,CONTRA COSTA,9256828200
JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,WALNUT CREEK,CA,94598,CONTRA COSTA,9259393000
KAISER FOUNDATION HOSPITAL - ANTIOCH,ANTIOCH,CA,94531,CONTRA COSTA,9258136500
KAISER FOUNDATION HOSPITAL - WALNUT CREEK,WALNUT CREEK,CA,94596,CONTRA COSTA,9252954000
