Hospital Name,City,State,ZIP Code,County Name,Phone Number,Mortality,P,PSI,Spending
PROVIDENCE VALDEZ MEDICAL CENTER,VALDEZ,AK,99686,,9078352249,0.817629229,-0.83,0,1132
SAMUEL SIMMONDS MEMORIAL HOSPITAL,BARROW,AK,99723,,9078524611,0.817629229,-0.83,0,1132
SOUTH PENINSULA HOSPITAL,HOMER,AK,99603,,9072358101,2.622856929,1.57,0,-826
WRANGELL MEDICAL CENTER,WRANGELL,AK,99929,,9078747000,0.817629229,-0.83,0,1132
PRATTVILLE BAPTIST HOSPITAL,PRATTVILLE,AL,36067,AUTAUGA,3343614267,3.356369187,0.279120879,-0.010080169,-52.89285714
NORTH BALDWIN INFIRMARY,BAY MINETTE,AL,36507,BALDWIN,2519375521,-1.805591638,1.399120879,-0.003837169,-1800.392857
SOUTH BALDWIN REGIONAL MEDICAL CENTER,FOLEY,AL,36535,BALDWIN,2519493400,2.983326787,1.159120879,0.028866831,20.85714286
THOMAS HOSPITAL,FAIRHOPE,AL,36532,BALDWIN,2519282375,3.492537312,0.399120879,-0.128016169,31.10714286
MEDICAL CENTER BARBOUR,EUFAULA,AL,36027,BARBOUR,3346887271,4.898869837,0.699120879,0.042068831,-2006.642857
BIBB MEDICAL CENTER,CENTREVILLE,AL,35042,BIBB,2059264881,-0.839557063,0.479120879,0.007740831,-1336.892857
ST VINCENTS BLOUNT,ONEONTA,AL,35121,BLOUNT,2052743000,2.961671337,1.199120879,-0.028134169,673.8571429
BULLOCK COUNTY HOSPITAL,UNION SPRINGS,AL,36089,BULLOCK,3347382140,1.411381037,0.939120879,0.007264831,-1100.392857
GEORGIANA MEDICAL CENTER,GEORGIANA,AL,36033,BUTLER,3343762205,2.340392437,2.759120879,0.004970831,-1265.642857
L V STABLER MEMORIAL HOSPITAL,GREENVILLE,AL,36037,BUTLER,3343822200,4.186484937,1.519120879,-0.036560169,-199.3928571
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,ANNISTON,AL,36207,CALHOUN,2562355121,-3.293998863,-0.780879121,0.295232831,1341.607143
RMC JACKSONVILLE,JACKSONVILLE,AL,36265,CALHOUN,2567824538,0.173410437,-0.380879121,0.006605831,-693.1428571
STRINGFELLOW MEMORIAL HOSPITAL,ANNISTON,AL,36201,CALHOUN,2562358900,5.903212387,-1.240879121,0.025874831,1261.357143
CHEROKEE MEDICAL CENTER,CENTRE,AL,35960,CHEROKEE,2569275531,-1.178140363,1.239120879,0.007257831,-1025.142857
ST VINCENT'S CHILTON,CLANTON,AL,35045,CHILTON,2054927008,2.124888037,-1.660879121,0,928.3571429
CHOCTAW GENERAL HOSPITAL,BUTLER,AL,36904,CHOCTAW,2054599100,1.864926337,-1.660879121,0,-550.3928571
GROVE HILL MEMORIAL HOSPITAL,GROVE HILL,AL,36451,CLARKE,2512753191,1.735262737,0.519120879,0.005177831,-1008.392857
JACKSON MEDICAL CENTER,JACKSON,AL,36545,CLARKE,2512469021,-0.512667363,1.419120879,0.008185831,-1350.642857
CLAY COUNTY HOSPITAL,ASHLAND,AL,36251,CLAY,2563542131,-1.700390263,0.399120879,0.002195831,-1648.642857
MEDICAL CENTER ENTERPRISE,ENTERPRISE,AL,36330,COFFEE,3343470584,-4.109286413,-0.940879121,-0.061962169,90.35714286
HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,35660,COLBERT,2563864556,-1.717372463,-0.020879121,-0.039032169,1127.607143
SHOALS HOSPITAL,MUSCLE SHOALS,AL,35661,COLBERT,2563861601,0.061228712,-0.060879121,0.017745831,969.1071429
EVERGREEN MEDICAL CENTER,EVERGREEN,AL,36401,CONECUH,2515782480,4.019143137,0.179120879,0.001541831,-1536.392857
ANDALUSIA REGIONAL HOSPITAL,ANDALUSIA,AL,36420,COVINGTON,3342228466,8.483784212,-0.960879121,-0.036234169,-467.8928571
MIZELL MEMORIAL HOSPITAL,OPP,AL,36467,COVINGTON,3344933541,-7.310946463,0.679120879,-0.042265169,120.1071429
CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,36049,CRENSHAW,3343353374,1.682072837,2.019120879,0.007028831,-1038.642857
CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,35058,CULLMAN,2567372000,-4.171277363,-0.340879121,0.052738831,1.857142857
DALE MEDICAL CENTER,OZARK,AL,36360,DALE,3347742601,2.706296662,0.719120879,0.014804831,1195.357143
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,SELMA,AL,36701,DALLAS,3344184100,2.773011037,-1.980879121,-0.160165169,-848.8928571
DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,35968,DE KALB,2568453150,-11.71387074,-1.260879121,-0.078682169,-441.6428571
COMMUNITY HOSPITAL INC,TALLASSEE,AL,36078,ELMORE,3342836541,7.408571537,0.499120879,-0.002129169,-473.6428571
ELMORE COMMUNITY HOSPITAL,WETUMPKA,AL,36092,ELMORE,3345674311,3.423883437,0.919120879,0.005956831,-1365.892857
ATMORE COMMUNITY HOSPITAL,ATMORE,AL,36502,ESCAMBIA,2513682500,4.524786712,0.579120879,-0.011442169,-1002.892857
D W MCMILLAN MEMORIAL HOSPITAL,BREWTON,AL,36426,ESCAMBIA,2518678061,-7.294855138,-0.860879121,-0.043830169,-888.6428571
GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,35903,ETOWAH,2564944000,1.421732187,-1.240879121,0.076300831,1796.357143
RIVERVIEW REGIONAL MEDICAL CENTER,GADSDEN,AL,35901,ETOWAH,2565435200,8.643861537,-1.820879121,-0.064593169,1754.607143
FAYETTE MEDICAL CENTER,FAYETTE,AL,35555,FAYETTE,2059325966,2.402990512,2.459120879,-0.015180169,-1540.642857
RED BAY HOSPITAL,RED BAY,AL,35582,FRANKLIN,2563569532,2.038234137,1.859120879,0,-156.1428571
RUSSELLVILLE HOSPITAL,RUSSELLVILLE,AL,35653,FRANKLIN,2563321611,-1.818353988,-0.020879121,-0.077719169,193.3571429
WIREGRASS MEDICAL CENTER,GENEVA,AL,36340,GENEVA,3346843655,0.297024537,0.359120879,-0.054524169,-1598.392857
GREENE COUNTY HOSPITAL,EUTAW,AL,35462,GREENE,2053723388,1.948506437,-1.660879121,0.008519831,-1282.392857
HALE COUNTY HOSPITAL,GREENSBORO,AL,36744,HALE,3346243024,2.606257337,1.219120879,0.007371831,-527.3928571
FLOWERS HOSPITAL,DOTHAN,AL,36305,HOUSTON,3347935000,-4.354476663,0.099120879,-0.044677169,913.3571429
SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,36301,HOUSTON,3347938701,-1.480231938,-1.120879121,-0.137227169,1901.857143
HIGHLANDS MEDICAL CENTER,SCOTTSBORO,AL,35768,JACKSON,2562594444,2.890137637,-0.300879121,-0.051396169,370.3571429
BROOKWOOD BAPTIST MEDICAL CENTER,BIRMINGHAM,AL,35209,JEFFERSON,2058771000,1.205755737,-1.540879121,-0.039032169,447.8571429
CALLAHAN EYE HOSPITAL,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,2.332080862,-1.660879121,-0.143985169,928.3571429
CHILDREN'S HOSPITAL OF ALABAMA,BIRMINGHAM,AL,35233,JEFFERSON,2059399100,2.124888037,-1.660879121,0,928.3571429
GRANDVIEW MEDICAL CENTER,BIRMINGHAM,AL,35243,JEFFERSON,2055921000,-9.267102713,0.099120879,0.046460831,587.6071429
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",BESSEMER,AL,35021,JEFFERSON,2054817000,4.117694912,-1.060879121,0.086606831,720.3571429
PRINCETON BAPTIST MEDICAL CENTER,BIRMINGHAM,AL,35211,JEFFERSON,2057833800,-8.866039463,-0.380879121,-0.049032169,1914.107143
ST VINCENT'S BIRMINGHAM,BIRMINGHAM,AL,35205,JEFFERSON,2059397000,-1.971610363,0.559120879,0.094671831,1134.107143
ST VINCENT'S EAST,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,2.965072337,-0.620879121,0,1543.607143
UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,AL,35233,JEFFERSON,2059344011,6.251045312,0.679120879,0.032198831,706.6071429
ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,35631,LAUDERDALE,2567688400,-15.12655154,-1.720879121,0.013919831,1092.107143
LAWRENCE MEDICAL CENTER,MOULTON,AL,35650,LAWRENCE,2569742200,2.922482737,-0.940879121,0.004049831,-698.1428571
EAST ALABAMA MEDICAL CENTER,OPELIKA,AL,36801,LEE,3347493411,-8.127815263,-0.140879121,-0.019032169,-351.8928571
ATHENS LIMESTONE HOSPITAL,ATHENS,AL,35611,LIMESTONE,2562339292,0.584844587,-0.220879121,0.125864831,375.1071429
NORTH ALABAMA SPECIALITY HOSPITAL,ATHENS,AL,35611,LIMESTONE,2562339292,2.124888037,-1.660879121,0,928.3571429
CRESTWOOD MEDICAL CENTER,HUNTSVILLE,AL,35801,MADISON,2568823100,0.510261737,-1.000879121,-0.005174169,-501.8928571
HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,35801,MADISON,2562651000,-2.293599563,0.139120879,0.124567831,486.1071429
BRYAN W. WHITFIELD MEMORIAL HOSPITAL,DEMOPOLIS,AL,36732,MARENGO,3342894000,3.064746887,-0.760879121,-0.011865169,-939.6428571
MARION REGIONAL MEDICAL CENTER,HAMILTON,AL,35570,MARION,2059216200,5.129400637,2.639120879,0.008510831,-1139.142857
NORTHWEST MEDICAL CENTER,WINFIELD,AL,35594,MARION,2054877736,-2.019177438,0.719120879,-0.053025169,-1618.142857
MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,35957,MARSHALL,2565938310,-10.93502886,-0.440879121,0.000967831,673.1071429
MOBILE INFIRMARY MEDICAL CENTER,MOBILE,AL,36652,MOBILE,2514354700,-5.910879613,0.719120879,0.163527831,1218.107143
PROVIDENCE HOSPITAL,MOBILE,AL,36608,MOBILE,2516331000,-15.94331206,-0.620879121,0.129921831,911.8571429
SPRINGHILL MEMORIAL HOSPITAL,MOBILE,AL,36608,MOBILE,2513449630,-0.802957863,-0.000879121,0.080967831,879.8571429
UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS,MOBILE,AL,36604,MOBILE,2514151000,2.124888037,-1.660879121,0,928.3571429
UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,MOBILE,AL,36617,MOBILE,2514717110,-5.863349563,0.359120879,-0.014773169,-660.8928571
MONROE COUNTY HOSPITAL,MONROEVILLE,AL,36460,MONROE,2515753111,-1.791495063,1.279120879,0.003160831,-1155.392857
BAPTIST MEDICAL CENTER EAST,MONTGOMERY,AL,36117,MONTGOMERY,3342448330,11.00405564,0.079120879,-0.120599169,-498.6428571
BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,-1.461897463,-0.880879121,-0.134894169,1104.607143
JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,-2.283905713,-0.260879121,0.174628831,1796.357143
DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,DECATUR,AL,35601,MORGAN,2563412000,-5.629557363,-0.640879121,0.030967831,78.85714286
PICKENS COUNTY MEDICAL CENTER,CARROLLTON,AL,35447,PICKENS,2053678111,-1.628108963,2.339120879,0.007654831,-1635.392857
TROY REGIONAL MEDICAL CENTER,TROY,AL,36081,PIKE,3346705000,0.336151612,-0.580879121,0.007693831,-1082.392857
WEDOWEE HOSPITAL,WEDOWEE,AL,36278,RANDOLPH,2563572111,2.637526437,1.439120879,0.008822831,-449.1428571
JACK HUGHSTON MEMORIAL HOSPITAL,PHENIX CITY,AL,36867,RUSSELL,3347323000,2.121505812,1.739120879,-0.127650169,1980.607143
ST VINCENT'S ST CLAIR,PELL CITY,AL,35125,SAINT CLAIR,2053383301,5.883265437,1.339120879,0.130967831,-1606.892857
SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,35007,SHELBY,2056208100,-4.649001763,-0.720879121,-0.051170169,1133.857143
HILL HOSPITAL OF SUMTER COUNTY,YORK,AL,36925,SUMTER,2053925263,2.124888037,-1.660879121,0.007712831,928.3571429
CITIZENS BAPTIST MEDICAL CENTER,TALLADEGA,AL,35161,TALLADEGA,2567614542,-0.994615763,-0.920879121,-0.019032169,-661.8928571
COOSA VALLEY MEDICAL CENTER,SYLACAUGA,AL,35150,TALLADEGA,2562495000,-3.148092563,-1.020879121,0.119114831,1269.107143
LAKE MARTIN COMMUNITY HOSPITAL,DADEVILLE,AL,36853,TALLAPOOSA,2568257821,3.524538637,-0.280879121,0.010135831,-1842.392857
RUSSELL HOSPITAL,ALEXANDER CITY,AL,35010,TALLAPOOSA,2563297100,-1.822829763,0.419120879,-0.097298169,2593.107143
D C H REGIONAL MEDICAL CENTER,TUSCALOOSA,AL,35401,TUSCALOOSA,2057597111,-4.455048538,-0.840879121,0.033345831,1480.107143
WALKER BAPTIST MEDICAL CENTER,JASPER,AL,35502,WALKER,2053874000,2.460184937,-0.520879121,-0.077537169,539.8571429
WASHINGTON COUNTY HOSPITAL,CHATOM,AL,36518,WASHINGTON,2518472223,2.124888037,-1.660879121,0,928.3571429
J PAUL JONES HOSPITAL,CAMDEN,AL,36726,WILCOX,3346824131,1.171695137,3.539120879,0.009635831,-1136.142857
LAKELAND COMMUNITY HOSPITAL,HALEYVILLE,AL,35565,WINSTON,2054857117,4.681988837,0.319120879,0.002256831,-1742.392857
BAPTIST HEALTH MEDICAL CENTER-STUTTGART,STUTTGART,AR,72160,ARKANSAS,8706733511,2.228292258,2.838666667,-0.008572419,-1311.486667
"DEWITT HOSPITAL & NURSING HOME, INC",DE WITT,AR,72042,ARKANSAS,8709463571,1.082624958,3.578666667,0,-1898.986667
ASHLEY COUNTY MEDICAL CENTER,CROSSETT,AR,71635,ASHLEY,8703644111,0.668860458,1.358666667,0,-462.4866667
BAXTER REGIONAL MEDICAL CENTER,MOUNTAIN HOME,AR,72653,BAXTER,8705081000,-4.844772742,-0.081333333,0.160129581,650.2633333
MERCY HOSPITAL NORTHWEST ARKANSAS,ROGERS,AR,72758,BENTON,4793388000,-0.523741767,-0.561333333,-0.190578419,512.5133333
OZARKS COMMUNITY HOSPITAL OF GRAVETTE,GRAVETTE,AR,72736,BENTON,4797875291,4.580115858,-1.581333333,0,-255.7366667
SILOAM SPRINGS REGIONAL HOSPITAL,SILOAM SPRINGS,AR,72761,BENTON,4795244141,1.698321433,-0.121333333,-0.014594419,676.5133333
NORTH ARKANSAS REGIONAL MEDICAL CENTER,HARRISON,AR,72601,BOONE,8704144000,-1.327595342,0.678666667,-0.143829419,206.7633333
BRADLEY COUNTY MEDICAL CENTER,WARREN,AR,71671,BRADLEY,8702263731,4.368319758,0.718666667,0,-1102.986667
"EUREKA SPRINGS HOSPITAL, LLC",EUREKA SPRINGS,AR,72632,CARROLL,4792537400,2.721829858,-1.581333333,0,-400.9866667
MERCY HOSPITAL BERRYVILLE,BERRYVILLE,AR,72616,CARROLL,8704233355,-0.680293342,2.378666667,0,-1277.986667
CHICOT MEMORIAL MEDICAL CENTER,LAKE VILLAGE,AR,71653,CHICOT,8702655351,0.479868758,-1.581333333,0.101449581,-175.9866667
BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA,ARKADELPHIA,AR,71923,CLARK,8702452622,1.200980358,1.218666667,0,-920.2366667
PIGGOTT COMMUNITY HOSPITAL,PIGGOTT,AR,72454,CLAY,8705983881,2.263744358,0.298666667,0,-305.4866667
BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS,HEBER SPRINGS,AR,72543,CLEBURNE,5018873000,3.416983358,2.418666667,0,438.2633333
MAGNOLIA HOSPITAL,MAGNOLIA,AR,71754,COLUMBIA,8702353000,-7.944329992,0.138666667,0.032228581,-1051.986667
CHI ST VINCENT MORRILTON,MORRILTON,AR,72110,CONWAY,5019772300,2.399635458,-1.581333333,0,-1141.736667
NEA BAPTIST MEMORIAL HOSPITAL,JONESBORO,AR,72401,CRAIGHEAD,8709727000,4.925132633,0.178666667,-0.252692419,778.7633333
ST BERNARDS MEDICAL CENTER,JONESBORO,AR,72401,CRAIGHEAD,8709724100,-9.695048467,-0.021333333,0.372177581,2455.013333
SPARKS MEDICAL CENTER - VAN BUREN,VAN BUREN,AR,72956,CRAWFORD,4794743401,0.517155958,0.238666667,-0.033330419,-1060.486667
CROSSRIDGE COMMUNITY HOSPITAL,WYNNE,AR,72396,CROSS,8702383300,3.165829458,2.818666667,0,-1352.236667
DALLAS COUNTY MEDICAL CENTER,FORDYCE,AR,71742,DALLAS,8703526300,0.295520658,-1.581333333,0,-1152.986667
DELTA MEMORIAL HOSPITAL,DUMAS,AR,71639,DESHA,8703824303,4.589529958,0.438666667,0,-1514.486667
MCGEHEE HOSPITAL,MCGEHEE,AR,71654,DESHA,8702225600,2.548522058,1.698666667,0,-572.7366667
DREW MEMORIAL HOSPITAL,MONTICELLO,AR,71655,DREW,8703672411,3.732108283,-0.861333333,-0.008955419,-890.7366667
BAPTIST HEALTH MEDICAL CENTER-CONWAY,CONWAY,AR,72032,FAULKNER,5015852000,3.068445458,-1.581333333,0,830.5133333
CONWAY REGIONAL MEDICAL CENTER,CONWAY,AR,72034,FAULKNER,5013293831,-0.852102692,-0.161333333,0.035712581,375.7633333
MERCY HOSPITAL TURNER MEMORIAL,OZARK,AR,72949,FRANKLIN,4796674138,2.509967958,-0.941333333,0,-1182.736667
FULTON COUNTY HOSPITAL,SALEM,AR,72576,FULTON,8708952691,-5.069910042,1.798666667,0,-957.4866667
CHI ST. VINCENT HOSPITAL HOT SPRINGS,HOT SPRINGS,AR,71903,GARLAND,5016221000,-1.942641642,-1.101333333,0.186669581,-150.2366667
LEVI HOSPITAL,HOT SPRINGS,AR,71901,GARLAND,5016241281,3.068445458,-1.581333333,0,830.5133333
NATIONAL PARK MEDICAL CENTER,HOT SPRINGS,AR,71901,GARLAND,5013211000,-5.866291342,-0.361333333,0.117979581,2656.013333
ARKANSAS METHODIST MEDICAL CENTER,PARAGOULD,AR,72450,GREENE,8702397000,-4.309637867,-0.321333333,0.033827581,1425.013333
WADLEY REGIONAL MEDICAL CENTER AT HOPE,HOPE,AR,71801,HEMPSTEAD,8707223800,3.981678958,-0.481333333,-0.002712419,-360.9866667
BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,MALVERN,AR,72104,HOT SPRING,5013321000,3.589739233,2.238666667,-0.017412419,-929.2366667
HOWARD MEMORIAL HOSPITAL,NASHVILLE,AR,71852,HOWARD,8708454400,1.389741758,1.998666667,0,-766.2366667
WHITE RIVER MEDICAL CENTER,BATESVILLE,AR,72503,INDEPENDENCE,8702621200,-0.294241742,-0.401333333,-0.034464419,710.7633333
"IZARD COUNTY MEDICAL CENTER, LLC",CALICO ROCK,AR,72519,IZARD,8702973726,2.605157058,2.078666667,0,-1385.736667
JEFFERSON REGIONAL MEDICAL CENTER,PINE BLUFF,AR,71603,JEFFERSON,8705417100,-4.053730967,-1.141333333,0.080112581,1170.513333
JOHNSON REGIONAL MEDICAL CENTER,CLARKSVILLE,AR,72830,JOHNSON,4797545454,-3.120034467,0.698666667,-0.038330419,-40.23666667
LAWRENCE MEMORIAL HOSPITAL,WALNUT RIDGE,AR,72476,LAWRENCE,8708861200,3.406591658,-0.181333333,0,-709.2366667
LITTLE RIVER MEMORIAL HOSPITAL,ASHDOWN,AR,71822,LITTLE RIVER,8708985011,4.281600058,-1.581333333,0,-441.9866667
MERCY HOSPITAL BOONEVILLE,BOONEVILLE,AR,72927,LOGAN,4796752800,0.295520658,0.778666667,0,471.0133333
NORTH LOGAN MERCY HOSPITAL,PARIS,AR,72855,LOGAN,4799636101,3.068445458,-1.581333333,0,830.5133333
GREAT RIVER MEDICAL CENTER,BLYTHEVILLE,AR,72315,MISSISSIPPI,8708387300,2.650216308,-3.321333333,0.021878581,-876.2366667
SOUTH MISSISSISSPI COUNTY REGIONAL MEDICAL CENTER,OSCEOLA,AR,72370,MISSISSIPPI,8705637000,4.099691258,-0.081333333,0,-165.4866667
OUACHITA COUNTY MEDICAL CENTER,CAMDEN,AR,71701,OUACHITA,8708361000,-1.278326217,0.718666667,0.004334581,800.7633333
HELENA REGIONAL MEDICAL CENTER,HELENA,AR,72342,PHILLIPS,8703385800,2.722144758,-0.661333333,0.059718581,-1655.486667
MENA REGIONAL HEALTH SYSTEM,MENA,AR,71953,POLK,4793946100,-4.623425067,0.658666667,-0.003824419,-1070.236667
ST MARYS REGIONAL MEDICAL CENTER,RUSSELLVILLE,AR,72801,POPE,4799682841,-4.789524392,-2.141333333,-0.038928419,915.7633333
ARKANSAS CHILDREN'S HOSPITAL,LITTLE ROCK,AR,72202,PULASKI,5013641100,3.068445458,-1.581333333,0,830.5133333
"ARKANSAS HEART HOSPITAL, LLC",LITTLE ROCK,AR,72211,PULASKI,5012197000,5.919377433,2.598666667,-0.173781419,-626.9866667
ARKANSAS SURGICAL HOSPITAL,NO LITTLE ROCK,AR,72118,PULASKI,5017488000,4.807863383,3.058666667,-0.333177419,1736.263333
BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,NORTH LITTLE ROCK,AR,72117,PULASKI,5012023000,-2.392235467,-0.021333333,-0.071706419,1235.513333
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,LITTLE ROCK,AR,72205,PULASKI,5012022000,-3.676628617,-0.401333333,0.223386581,340.0133333
CHI-ST VINCENT INFIRMARY,LITTLE ROCK,AR,72205,PULASKI,5015523000,-10.45041327,-0.981333333,0,747.5133333
NORTH METRO MEDICAL CENTER,JACKSONVILLE,AR,72076,PULASKI,5019857000,2.623914033,-4.421333333,0.093655581,285.2633333
ST VINCENT MEDICAL CENTER/NORTH,SHERWOOD,AR,72120,PULASKI,5015527100,-1.612160217,-1.201333333,-0.079581419,286.0133333
UAMS MEDICAL CENTER,LITTLE ROCK,AR,72205,PULASKI,5016865000,1.597772633,-0.821333333,0.279410581,-570.9866667
FIVE RIVERS MEDICAL CENTER,POCAHONTAS,AR,72455,RANDOLPH,8708926000,0.296465358,0.698666667,0.000703581,-732.4866667
FORREST CITY MEDICAL CENTER,FORREST CITY,AR,72335,SAINT FRANCIS,8702610000,-5.328451467,-0.401333333,0.149939581,-1248.236667
SALINE MEMORIAL HOSPITAL,BENTON,AR,72015,SALINE,5017766000,-2.838946342,-2.001333333,-0.171352419,300.5133333
MERCY HOSPITAL WALDRON,WALDRON,AR,72958,SCOTT,4796374135,2.692689858,1.158666667,0,-783.4866667
MERCY HOSPITAL FORT SMITH,FORT SMITH,AR,72917,SEBASTIAN,4793146000,2.913145508,-0.141333333,-0.209471419,1793.513333
SPARKS REGIONAL MEDICAL CENTER,FORT SMITH,AR,72902,SEBASTIAN,4794414000,-0.359185992,-2.201333333,0.184822581,2306.263333
"DE QUEEN MEDICAL CENTER, INC",DE QUEEN,AR,71832,SEVIER,8705844111,-0.328540642,-0.281333333,0,37.51333333
STONE COUNTY MEDICAL CENTER,MOUNTAIN VIEW,AR,72560,STONE,8702694361,5.385611258,-1.581333333,0,-472.9866667
MEDICAL CENTER SOUTH ARKANSAS,EL DORADO,AR,71731,UNION,8708632000,-10.28894759,-0.401333333,0.055753581,1893.013333
OZARK HEALTH,CLINTON,AR,72031,VAN BUREN,5017457000,3.318993058,1.198666667,0,-344.2366667
NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,FAYETTEVILLE,AR,72703,WASHINGTON,4795717002,0.949195458,1.658666667,-0.053330419,2478.263333
NORTHWEST MEDICAL CENTER-SPRINGDALE,SPRINGDALE,AR,72764,WASHINGTON,4797515711,-10.24942019,-0.881333333,-0.262442419,1154.763333
WASHINGTON REGIONAL MEDICAL CENTER,FAYETTEVILLE,AR,72703,WASHINGTON,4794635113,-15.11562619,-0.761333333,0.045712581,1144.513333
WHITE COUNTY MEDICAL CENTER,SEARCY,AR,72143,WHITE,5012783100,1.739267208,-0.021333333,-0.092304419,-57.73666667
CHAMBERS MEMORIAL HOSPITAL,DANVILLE,AR,72833,YELL,4794952241,1.604423658,2.318666667,-0.004230419,-1015.986667
RIVER VALLEY MEDICAL CENTER,DARDANELLE,AR,72834,YELL,4792294677,-0.681722142,0.618666667,0,89.76333333
LBJ TROPICAL MEDICAL CENTER,PAGO PAGO,AS,96799,,6846334590,0,0,0,0
CHINLE COMPREHENSIVE HEALTH CARE FACILITY,CHINLE,AZ,86503,APACHE,9286747001,-2.098983645,0.75175,-0.001136857,-2553.58125
FORT DEFIANCE INDIAN HOSPITAL,FORT DEFIANCE,AZ,86504,APACHE,9287298000,0.176232055,-2.20825,-0.008313857,-2420.08125
SAGE MEMORIAL HOSPITAL,GANADO,AZ,86505,APACHE,9287554541,1.07716738,-2.50825,0,-1550.58125
WHITE MOUNTAIN REGIONAL MEDICAL CENTER,SPRINGERVILLE,AZ,85938,APACHE,9283334368,-1.08918012,1.07175,0,-1647.33125
BENSON HOSPITAL,BENSON,AZ,85602,COCHISE,5205862261,0.99051348,2.67175,0,-2140.58125
CANYON VISTA MEDICAL CENTER,SIERRA VISTA,AZ,85635,COCHISE,5204173001,-7.6822982,-0.10825,0.105203143,-98.58125
