,State,Measure Name,Discharges,LOS_mean,LOS_median,In-hospital deaths,In-hospital deaths: %,Total Death,Percentage Death
134,RI,Death rate for chronic obstructive pulmonary disease (COPD) patients,2352,4.4179421769,3,29,1.232993,,0.0604166666667
135,SC,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,9662,4.683295384,3,474,4.905817,2274,0.208443271768
136,SC,Heart failure (HF) 30-Day Mortality Rate,15197,5.1929986181,4,485,3.191419,,0.213280562885
137,SC,Death rate for stroke patients,10775,6.547386986,4,762,7.071926,,0.335092348285
138,SC,Pneumonia (PN) 30-Day Mortality Rate,13389,5.2632758234,4,439,3.278811,,0.193051890941
139,SC,Death rate for chronic obstructive pulmonary disease (COPD) patients,9881,4.3332658638,3,114,1.153729,,0.0501319261214
140,TN,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,14899,4.6000402712,3,712,4.778844,3545,0.200846262341
141,TN,Heart failure (HF) 30-Day Mortality Rate,18835,5.322909477,4,643,3.413857,,0.181382228491
142,TN,Death rate for stroke patients,13893,5.4686532786,4,1280,9.213273,,0.361071932299
143,TN,Pneumonia (PN) 30-Day Mortality Rate,21177,5.1079000803,4,739,3.489635,,0.208462623413
144,TN,Death rate for chronic obstructive pulmonary disease (COPD) patients,15060,4.0961487384,3,171,1.135458,,0.0482369534556
145,TX,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,42301,4.9083000402,3,2284,5.3994,9739,0.234520998049
146,TX,Heart failure (HF) 30-Day Mortality Rate,63377,5.5452924563,4,1790,2.824368,,0.183797104426
147,TX,Death rate for stroke patients,43734,5.9274706178,4,3283,7.506745,,0.337098264709
148,TX,Pneumonia (PN) 30-Day Mortality Rate,66132,5.6519635269,4,1863,2.817093,,0.191292740528
149,TX,Death rate for chronic obstructive pulmonary disease (COPD) patients,37932,4.8131129389,4,519,1.368238,,0.0532908922887
150,UT,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,2975,3.7082352941,2,139,4.672269,674,0.206231454006
151,UT,Heart failure (HF) 30-Day Mortality Rate,3133,4.982444941,3,123,3.92595,,0.182492581602
152,UT,Death rate for stroke patients,2946,4.3842498303,3,259,8.791582,,0.384272997033
153,UT,Pneumonia (PN) 30-Day Mortality Rate,5232,3.6660932722,3,133,2.542049,,0.197329376855
154,UT,Death rate for chronic obstructive pulmonary d,1345,4.117472119,3,20,1.486989,,0.0296735905045
155,VT,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,1135,3.8986784141,2,57,5.022026,318,0.179245283019
156,VT,Heart failure (HF) 30-Day Mortality Rate,1346,4.1641901932,3,63,4.680535,,0.198113207547
157,VT,Death rate for stroke patients,847,5.5950413223,3,94,11.097993,,0.295597484277
158,VT,Pneumonia (PN) 30-Day Mortality Rate,1750,4.172,3,85,4.857143,,0.267295597484
159,VT,Death rate for chronic obstructive pulmonary disease (COPD) patients,1093,3.7273559012,3,19,1.738335,,0.059748427673
160,WA,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,11160,4.0338709677,3,597,5.349462,2516,0.237281399046
161,WA,Heart failure (HF) 30-Day Mortality Rate,14682,4.9495981474,4,524,3.568996,,0.20826709062
162,WA,Death rate for stroke patients,11788,5.0917034272,3,965,8.186291,,0.383545310016
163,WA,Pneumonia (PN) 30-Day Mortality Rate,11990,4.3382819016,3,348,2.902419,,0.138314785374
164,WA,Death rate for chronic obstructive pulmonary disease (COPD) patients,5902,3.8724161301,3,82,1.38936,,0.0325914149444
165,WV,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,6771,4.9169989662,3,330,4.873726,1384,0.238439306358
166,WV,Heart failure (HF) 30-Day Mortality Rate,7292,5.2581972836,4,256,3.510697,,0.184971098266
167,WV,Death rate for stroke patients,4330,5.5575057737,4,411,9.491917,,0.296965317919
168,WV,Pneumonia (PN) 30-Day Mortality Rate,9346,5.2942435266,4,295,3.156431,,0.213150289017
169,WV,Death rate for chronic obstructive pulmonary disease (COPD) patients,7874,4.3593849282,3,92,1.168402,,0.0664739884393
170,WI,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,10073,4.0063536186,3,557,5.529634,2386,0.233445096396
171,WI,Heart failure (HF) 30-Day Mortality Rate,15111,4.5338495136,3,479,3.169876,,0.200754400671
172,WI,Death rate for stroke patients,9790,5.0090909091,3,832,8.498468,,0.348700754401
173,WI,Pneumonia (PN) 30-Day Mortality Rate,15206,4.2298434828,3,428,2.814678,,0.179379715004
174,WI,Death rate for chronic obstructive pulmonary disease (COPD) patients,7779,3.7277284998,3,90,1.156961,,0.0377200335289
175,WY,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,751,4.1677762983,3,39,5.193076,185,0.210810810811
176,WY,Heart failure (HF) 30-Day Mortality Rate,992,4.6572580645,4,44,4.435484,,0.237837837838
177,WY,Death rate for stroke patients,500,4.072,3,31,6.2,,0.167567567568
178,WY,Pneumonia (PN) 30-Day Mortality Rate,1744,3.98163031,3,45,2.580275,,0.243243243243
179,WY,Death rate for chronic obstructive pulmonary disease (COPD) patients,902,3.7633333333,3,26,2.882483,,0.140540540541
