,Hospital Name,City,State,ZIP Code,County Name,Phone Number,MortalityRanked,PatientRanked,PSIRanked,SpendingRanked
40,CLAY COUNTY HOSPITAL,ASHLAND,AL,36251,CLAY,2563542131,4.83178753475,5.71570089984,6.3115300209,8.43071693956
41,MEDICAL CENTER ENTERPRISE,ENTERPRISE,AL,36330,COFFEE,3343470584,4.29059895061,4.71355311975,6.74225681843,6.86422680234
42,HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,35660,COLBERT,2563864556,4.82797227157,5.40159487921,6.58831552557,5.92987263606
43,SHOALS HOSPITAL,MUSCLE SHOALS,AL,35661,COLBERT,2563861601,5.22755722323,5.37168002011,6.20713459552,6.07264933929
44,EVERGREEN MEDICAL CENTER,EVERGREEN,AL,36401,CONECUH,2515782480,6.11675209526,5.55116917475,6.31592067094,8.32960220815
45,ANDALUSIA REGIONAL HOSPITAL,ANDALUSIA,AL,36420,COVINGTON,3342228466,7.11978943336,4.6985956902,6.56953106253,7.36709806118
46,MIZELL MEMORIAL HOSPITAL,OPP,AL,36467,COVINGTON,3344933541,3.5713060623,5.92510491359,6.6100203751,6.83742802049
47,CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,36049,CRENSHAW,3343353374,5.59170008474,6.92725269368,6.27908351988,7.88122931231
48,CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,35058,CULLMAN,2567372000,4.27667191002,5.16227600636,5.97220796399,6.94394754827
49,DALE MEDICAL CENTER,OZARK,AL,36360,DALE,3347742601,5.82180474977,5.95501977269,6.22687909366,5.86884347746
50,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,SELMA,AL,36701,DALLAS,3344184100,5.83679296674,3.93576678297,7.40154581898,7.71030262836
51,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,35968,DE KALB,2568453150,2.58213417312,4.47423424689,6.85450707646,7.34345207722
52,COMMUNITY HOSPITAL INC,TALLASSEE,AL,36078,ELMORE,3342836541,6.87822948682,5.79048804761,6.34056604757,7.37227765766
53,ELMORE COMMUNITY HOSPITAL,WETUMPKA,AL,36092,ELMORE,3345674311,5.98301957456,6.10459406823,6.28628042637,8.17601591234
54,ATMORE COMMUNITY HOSPITAL,ATMORE,AL,36502,ESCAMBIA,2513682500,6.23035123503,5.85031776582,6.40308917275,7.84902573416
55,D W MCMILLAN MEMORIAL HOSPITAL,BREWTON,AL,36426,ESCAMBIA,2518678061,3.57492117929,4.77338283796,6.62052705296,7.74610940407
56,GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,35903,ETOWAH,2564944000,5.53321130855,4.48919167645,5.81402371879,5.32746304471
57,RIVERVIEW REGIONAL MEDICAL CENTER,GADSDEN,AL,35901,ETOWAH,2565435200,7.15575280226,4.05542621939,6.75992012159,5.3650714192
58,FAYETTE MEDICAL CENTER,FAYETTE,AL,35555,FAYETTE,2059325966,5.75366323778,7.25631614385,6.42818435604,8.33343060555
59,RED BAY HOSPITAL,RED BAY,AL,35582,FRANKLIN,2563569532,5.67171616582,6.80759325725,6.32627180298,7.08627385168
60,RUSSELLVILLE HOSPITAL,RUSSELLVILLE,AL,35653,FRANKLIN,2563321611,4.80528551169,5.40159487921,6.84804194497,6.77144446525
61,WIREGRASS MEDICAL CENTER,GENEVA,AL,36340,GENEVA,3346843655,5.28053169815,5.68578604073,6.69232156608,8.38545177027
62,GREENE COUNTY HOSPITAL,EUTAW,AL,35462,GREENE,2053723388,5.65155771818,4.17508565582,6.2690736434,8.10079916336
63,HALE COUNTY HOSPITAL,GREENSBORO,AL,36744,HALE,3346243024,5.79932966687,6.32895551153,6.27678077834,7.42069562482
64,FLOWERS HOSPITAL,DOTHAN,AL,36305,HOUSTON,3347935000,4.23551390087,5.49133945653,6.62621341472,6.12286890522
65,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,36301,HOUSTON,3347938701,4.88124885013,4.57893625377,7.24755081786,5.23242870918
66,HIGHLANDS MEDICAL CENTER,SCOTTSBORO,AL,35768,JACKSON,2562594444,5.86310691921,5.19219086546,6.67132163742,6.61200297341
67,BROOKWOOD BAPTIST MEDICAL CENTER,BIRMINGHAM,AL,35209,JEFFERSON,2058771000,5.48468950358,4.26483023314,6.58831552557,6.54219102077
68,CALLAHAN EYE HOSPITAL,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,5.73773249993,4.17508565582,7.29292086833,6.10935691439
69,CHILDREN'S HOSPITAL OF ALABAMA,BIRMINGHAM,AL,35233,JEFFERSON,2059399100,5.69118404594,4.17508565582,6.32627180298,6.10935691439
70,GRANDVIEW MEDICAL CENTER,BIRMINGHAM,AL,35243,JEFFERSON,2055921000,3.13183114708,5.49133945653,6.014355519,6.41630430617
71,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",BESSEMER,AL,35021,JEFFERSON,2054817000,6.13889298148,4.62380854243,5.74483405615,6.29672318729
72,PRINCETON BAPTIST MEDICAL CENTER,BIRMINGHAM,AL,35211,JEFFERSON,2057833800,3.22193501164,5.13236114725,6.65545084735,5.22139391667
73,ST VINCENT'S BIRMINGHAM,BIRMINGHAM,AL,35205,JEFFERSON,2059397000,4.77085455434,5.83536033627,5.69068941913,5.92401744003
74,ST VINCENT'S EAST,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,5.87994193479,4.95287199261,6.32627180298,5.55514009026
75,UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,AL,35233,JEFFERSON,2059344011,6.61817677395,5.92510491359,6.11010391494,6.30910917888
76,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,35631,LAUDERDALE,2567688400,1.8154328397,4.13021336716,6.23282056963,5.96185101436
77,LAWRENCE MEDICAL CENTER,MOULTON,AL,35650,LAWRENCE,2569742200,5.87037364961,4.71355311975,6.29908313224,7.57450712048
78,EAST ALABAMA MEDICAL CENTER,OPELIKA,AL,36801,LEE,3347493411,3.38778629152,5.31185030189,6.45404488199,7.26260533206
79,ATHENS LIMESTONE HOSPITAL,ATHENS,AL,35611,LIMESTONE,2562339292,5.3451940645,5.25202058368,5.48127420988,6.60772417631
80,NORTH ALABAMA SPECIALITY HOSPITAL,ATHENS,AL,35611,LIMESTONE,2562339292,5.69118404594,4.17508565582,6.32627180298,6.10935691439
81,CRESTWOOD MEDICAL CENTER,HUNTSVILLE,AL,35801,MADISON,2568823100,5.32843809642,4.66868083109,6.36100875306,7.3977252404
82,HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,35801,MADISON,2562651000,4.698515662,5.52125431564,5.48998166111,6.50773544414
83,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,DEMOPOLIS,AL,36732,MARENGO,3342894000,5.90233506642,4.84816998573,6.40592899686,7.7920501729
84,MARION REGIONAL MEDICAL CENTER,HAMILTON,AL,35570,MARION,2059216200,6.36618529911,7.39093300984,6.26913406519,7.9717596509
85,NORTHWEST MEDICAL CENTER,WINFIELD,AL,35594,MARION,2054877736,4.76016801729,5.95501977269,6.68225798134,8.4032425582
86,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,35957,MARSHALL,2565938310,2.75711072174,5.08748885859,6.31977423841,6.33928595841
87,MOBILE INFIRMARY MEDICAL CENTER,MOBILE,AL,36652,MOBILE,2514354700,3.88584855358,5.95501977269,5.22842244743,5.84835029136
88,PROVIDENCE HOSPITAL,MOBILE,AL,36608,MOBILE,2516331000,1.63193739536,4.95287199261,5.45403740983,6.12422010431
89,SPRINGHILL MEMORIAL HOSPITAL,MOBILE,AL,36608,MOBILE,2513449630,5.03340692375,5.41655230877,5.78269166411,6.15304568475
90,UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS,MOBILE,AL,36604,MOBILE,2514151000,5.69118404594,4.17508565582,6.32627180298,6.10935691439
91,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,MOBILE,AL,36617,MOBILE,2514717110,3.89652677251,5.68578604073,6.42545194844,7.54095234324
92,MONROE COUNTY HOSPITAL,MONROEVILLE,AL,36460,MONROE,2515753111,4.8113197044,6.37382780019,6.30505146235,7.98639764097
93,BAPTIST MEDICAL CENTER EAST,MONTGOMERY,AL,36117,MONTGOMERY,3342448330,7.68599986372,5.47638202698,7.13591820479,7.39479764238
94,BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,4.88536791876,4.75842540841,7.23188814729,5.950591022
95,JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,4.70069350639,5.22210572457,5.15389552671,5.32746304471
96,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,DECATUR,AL,35601,MORGAN,2563412000,3.94905110807,4.93791456305,6.11836827305,6.87458599532
97,PICKENS COUNTY MEDICAL CENTER,CARROLLTON,AL,35447,PICKENS,2053678111,4.8480264309,7.16657156653,6.27488084873,8.41878134766
98,TROY REGIONAL MEDICAL CENTER,TROY,AL,36081,PIKE,3346705000,5.28932208387,4.98278685171,6.27461902098,7.92063928558
99,WEDOWEE HOSPITAL,WEDOWEE,AL,36278,RANDOLPH,2563572111,5.80635466044,6.49348723662,6.26703944315,7.35020807263
100,JACK HUGHSTON MEMORIAL HOSPITAL,PHENIX CITY,AL,36867,RUSSELL,3347323000,5.69042418688,6.71784867993,7.18325532019,5.1614907573
101,ST VINCENT'S ST CLAIR,PELL CITY,AL,35125,SAINT CLAIR,2053383301,6.53555043499,6.41870008885,5.44701505517,8.39310856507
102,SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,35007,SHELBY,2056208100,4.16934516136,4.87808484484,6.66980437915,5.92424263987
103,HILL HOSPITAL OF SUMTER COUNTY,YORK,AL,36925,SUMTER,2053925263,5.69118404594,4.17508565582,6.27449146387,6.10935691439
104,CITIZENS BAPTIST MEDICAL CENTER,TALLADEGA,AL,35161,TALLADEGA,2567614542,4.99034858454,4.7285105493,6.45404488199,7.54185314263
105,COOSA VALLEY MEDICAL CENTER,SYLACAUGA,AL,35150,TALLADEGA,2562495000,4.50654314512,4.65372340154,5.52659055209,5.80240952252
106,LAKE MARTIN COMMUNITY HOSPITAL,DADEVILLE,AL,36853,TALLAPOOSA,2568257821,6.00563302146,5.20714829502,6.2582245754,8.60524682116
107,RUSSELL HOSPITAL,ALEXANDER CITY,AL,35010,TALLAPOOSA,2563297100,4.80427997298,5.73065832939,6.9794861915,4.60975113159
108,D C H REGIONAL MEDICAL CENTER,TUSCALOOSA,AL,35401,TUSCALOOSA,2057597111,4.21291917397,4.78834026752,6.10240349353,5.61234085146
109,WALKER BAPTIST MEDICAL CENTER,JASPER,AL,35502,WALKER,2053874000,5.76651267917,5.02765914037,6.84682008211,6.45931747699
110,WASHINGTON COUNTY HOSPITAL,CHATOM,AL,36518,WASHINGTON,2518472223,5.69118404594,4.17508565582,6.32627180298,6.10935691439
111,J PAUL JONES HOSPITAL,CAMDEN,AL,36726,WILCOX,3346824131,5.4770373647,8.06401733974,6.26158134149,7.96905725273
112,LAKELAND COMMUNITY HOSPITAL,HALEYVILLE,AL,35565,WINSTON,2054857117,6.26566865436,5.65587118162,6.31112049544,8.51516688227
113,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,STUTTGART,AR,72160,ARKANSAS,8706733511,5.71441509471,7.54016761317,6.38382301378,8.12700684963
114,"DEWITT HOSPITAL & NURSING HOME, INC",DE WITT,AR,72042,ARKANSAS,8709463571,5.45702663735,8.09359250665,6.32627180298,8.65622649063
115,ASHLEY COUNTY MEDICAL CENTER,CROSSETT,AR,71635,ASHLEY,8703644111,5.36406927847,6.43331782621,6.32627180298,7.36222816817
116,BAXTER REGIONAL MEDICAL CENTER,MOUNTAIN HOME,AR,72653,BAXTER,8705081000,4.12536276762,5.35638289835,5.25123670815,6.35986364814
117,MERCY HOSPITAL NORTHWEST ARKANSAS,ROGERS,AR,72758,BENTON,4793388000,5.09613630445,4.99740458907,7.60572615152,6.48394876396
118,OZARKS COMMUNITY HOSPITAL OF GRAVETTE,GRAVETTE,AR,72736,BENTON,4797875291,6.24278161821,4.23457568184,6.32627180298,7.17598789451
119,SILOAM SPRINGS REGIONAL HOSPITAL,SILOAM SPRINGS,AR,72761,BENTON,4795244141,5.59535053462,5.32646803925,6.42425190456,6.33621766418
120,NORTH ARKANSAS REGIONAL MEDICAL CENTER,HARRISON,AR,72601,BOONE,8704144000,4.91554056639,5.92476522139,7.29187523569,6.75936817713
121,BRADLEY COUNTY MEDICAL CENTER,WARREN,AR,71671,BRADLEY,8702263731,6.19519898104,5.95468008049,6.32627180298,7.93919017704
122,"EUREKA SPRINGS HOSPITAL, LLC",EUREKA SPRINGS,AR,72632,CARROLL,4792537400,5.82529447611,4.23457568184,6.32627180298,7.30682900575
123,MERCY HOSPITAL BERRYVILLE,BERRYVILLE,AR,72616,CARROLL,8704233355,5.06096503929,7.19614673344,6.32627180298,8.09683007011
124,CHICOT MEMORIAL MEDICAL CENTER,LAKE VILLAGE,AR,71653,CHICOT,8702655351,5.32160993437,4.23457568184,5.64518677641,7.10414914324
125,BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA,ARKADELPHIA,AR,71923,CLARK,8702452622,5.48361665509,6.32861581933,6.32627180298,7.77456908845
126,PIGGOTT COMMUNITY HOSPITAL,PIGGOTT,AR,72454,CLAY,8705983881,5.72237985143,5.64057405987,6.32627180298,7.22080266411
127,BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS,HEBER SPRINGS,AR,72543,CLEBURNE,5018873000,5.9814693857,7.22606159255,6.32627180298,6.55083311859
128,MAGNOLIA HOSPITAL,MAGNOLIA,AR,71754,COLUMBIA,8702353000,3.42900854762,5.52091462344,6.10990418736,7.89324940821
129,CHI ST VINCENT MORRILTON,MORRILTON,AR,72110,CONWAY,5019772300,5.75290948303,4.23457568184,6.32627180298,7.97409615336
130,NEA BAPTIST MEMORIAL HOSPITAL,JONESBORO,AR,72401,CRAIGHEAD,8709727000,6.32029394266,5.55082948255,8.02273048927,6.24411092666
131,ST BERNARDS MEDICAL CENTER,JONESBORO,AR,72401,CRAIGHEAD,8709724100,3.0356877925,5.40125518701,3.8276456367,4.73414595125
132,SPARKS MEDICAL CENTER - VAN BUREN,VAN BUREN,AR,72956,CRAWFORD,4794743401,5.32998696921,5.59570177121,6.55003664347,7.90090620301
133,CROSSRIDGE COMMUNITY HOSPITAL,WYNNE,AR,72396,CROSS,8702383300,5.92504452755,7.52521018362,6.32627180298,8.16371442473
134,DALLAS COUNTY MEDICAL CENTER,FORDYCE,AR,71742,DALLAS,8703526300,5.28019383296,4.23457568184,6.32627180298,7.98423014649
135,DELTA MEMORIAL HOSPITAL,DUMAS,AR,71639,DESHA,8703824303,6.24489661326,5.74527606674,6.32627180298,8.30986912559
136,MCGEHEE HOSPITAL,MCGEHEE,AR,71654,DESHA,8702225600,5.78635871589,6.68759412862,6.32627180298,7.4615413008
137,DREW MEMORIAL HOSPITAL,MONTICELLO,AR,71655,DREW,8703672411,6.05226613299,4.77304314576,6.38639429661,7.74799550647
138,BAPTIST HEALTH MEDICAL CENTER-CONWAY,CONWAY,AR,72032,FAULKNER,5015852000,5.90316599656,4.23457568184,6.32627180298,6.19749455829
139,CONWAY REGIONAL MEDICAL CENTER,CONWAY,AR,72034,FAULKNER,5013293831,5.02236592456,5.29655318014,6.08651424124,6.6071330804
140,MERCY HOSPITAL TURNER MEMORIAL,OZARK,AR,72949,FRANKLIN,4796674138,5.77769705615,4.71321342755,6.32627180298,8.01102892831
141,FULTON COUNTY HOSPITAL,SALEM,AR,72576,FULTON,8708952691,4.07478286336,6.76238127639,6.32627180298,7.80812386568
142,CHI ST. VINCENT HOSPITAL HOT SPRINGS,HOT SPRINGS,AR,71903,GARLAND,5016221000,4.77736273906,4.59355399112,5.07305956413,7.08095355897
143,LEVI HOSPITAL,HOT SPRINGS,AR,71901,GARLAND,5016241281,5.90316599656,4.23457568184,6.32627180298,6.19749455829
144,NATIONAL PARK MEDICAL CENTER,HOT SPRINGS,AR,71901,GARLAND,5013211000,3.89586586514,5.1469788846,5.53421208949,4.55308527407
145,ARKANSAS METHODIST MEDICAL CENTER,PARAGOULD,AR,72450,GREENE,8702397000,4.245587496,5.17689374371,6.0991692494,5.66196932184
146,WADLEY REGIONAL MEDICAL CENTER AT HOPE,HOPE,AR,71801,HEMPSTEAD,8707223800,6.10833529988,5.05723430728,6.34448171522,7.27079703019
147,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,MALVERN,AR,72104,HOT SPRING,5013321000,6.02028114908,7.09144472656,6.44317063824,7.78267628295
148,HOWARD MEMORIAL HOSPITAL,NASHVILLE,AR,71852,HOWARD,8708454400,5.52602425942,6.91195557192,6.32627180298,7.63584598255
149,WHITE RIVER MEDICAL CENTER,BATESVILLE,AR,72503,INDEPENDENCE,8702621200,5.14769634932,5.1170640255,6.55764978896,6.30536528511
150,"IZARD COUNTY MEDICAL CENTER, LLC",CALICO ROCK,AR,72519,IZARD,8702973726,5.79908247546,6.97178529014,6.32627180298,8.19389120426
151,JEFFERSON REGIONAL MEDICAL CENTER,PINE BLUFF,AR,71603,JEFFERSON,8705417100,4.30308017491,4.56363913201,5.78843341251,5.89122276632
152,JOHNSON REGIONAL MEDICAL CENTER,CLARKSVILLE,AR,72830,JOHNSON,4797545454,4.51284674656,5.93972265094,6.58360430436,6.98186562617
153,LAWRENCE MEMORIAL HOSPITAL,WALNUT RIDGE,AR,72476,LAWRENCE,8708861200,5.9791347606,5.28159575058,6.32627180298,7.58450041738
154,LITTLE RIVER MEMORIAL HOSPITAL,ASHDOWN,AR,71822,LITTLE RIVER,8708985011,6.17571631813,4.23457568184,6.32627180298,7.34376178069
155,MERCY HOSPITAL BOONEVILLE,BOONEVILLE,AR,72927,LOGAN,4796752800,5.28019383296,5.99955236916,6.32627180298,6.52133193861
156,NORTH LOGAN MERCY HOSPITAL,PARIS,AR,72855,LOGAN,4799636101,5.90316599656,4.23457568184,6.32627180298,6.19749455829
157,GREAT RIVER MEDICAL CENTER,BLYTHEVILLE,AR,72315,MISSISSIPPI,8708387300,5.80920559834,2.93327931068,6.17938924541,7.73493391533
158,SOUTH MISSISSISSPI COUNTY REGIONAL MEDICAL CENTER,OSCEOLA,AR,72370,MISSISSIPPI,8705637000,6.13484823591,5.35638289835,6.32627180298,7.09469074966
159,OUACHITA COUNTY MEDICAL CENTER,CAMDEN,AR,71701,OUACHITA,8708361000,4.92660949022,5.95468008049,6.29717145395,6.22429334011
160,HELENA REGIONAL MEDICAL CENTER,HELENA,AR,72342,PHILLIPS,8703385800,5.82536522233,4.9226174413,5.92534918776,8.43688183942
161,MENA REGIONAL HEALTH SYSTEM,MENA,AR,71953,POLK,4793946100,4.17509128532,5.90980779183,6.351947163,7.90968899706
162,ST MARYS REGIONAL MEDICAL CENTER,RUSSELLVILLE,AR,72801,POPE,4799682841,4.13777499897,3.81576765434,6.5876189966,6.12070141038
163,ARKANSAS CHILDREN'S HOSPITAL,LITTLE ROCK,AR,72202,PULASKI,5013641100,5.90316599656,4.23457568184,6.32627180298,6.19749455829
164,"ARKANSAS HEART HOSPITAL, LLC",LITTLE ROCK,AR,72211,PULASKI,5012197000,6.54366344558,7.36067845853,7.49295895151,7.51040966764
165,ARKANSAS SURGICAL HOSPITAL,NO LITTLE ROCK,AR,72118,PULASKI,5017488000,6.29394794208,7.70469933826,8.56306912668,5.38159551204
166,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,NORTH LITTLE ROCK,AR,72117,PULASKI,5012023000,4.67635587515,5.40125518701,6.80767515436,5.83267080604
167,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,LITTLE ROCK,AR,72205,PULASKI,5012022000,4.38780092423,5.1170640255,4.82655880312,6.63933665855
168,CHI-ST VINCENT INFIRMARY,LITTLE ROCK,AR,72205,PULASKI,5015523000,2.86598566224,4.68329856844,6.32627180298,6.27226090757
169,NORTH METRO MEDICAL CENTER,JACKSONVILLE,AR,72076,PULASKI,5019857000,5.80329646399,2.11062068523,5.69751204621,6.6886554251
170,ST VINCENT MEDICAL CENTER/NORTH,SHERWOOD,AR,72120,PULASKI,5015527100,4.85160951573,4.51876684335,6.86054422027,6.68797982556
171,UAMS MEDICAL CENTER,LITTLE ROCK,AR,72205,PULASKI,5016865000,5.5727609918,4.80295800487,4.45043987633,7.45996490187
172,FIVE RIVERS MEDICAL CENTER,POCAHONTAS,AR,72455,RANDOLPH,8708926000,5.28040607161,5.93972265094,6.32154828929,7.60544400318
173,FORREST CITY MEDICAL CENTER,FORREST CITY,AR,72335,SAINT FRANCIS,8702610000,4.01669830553,5.1170640255,5.31964760106,8.07003128828
174,SALINE MEMORIAL HOSPITAL,BENTON,AR,72015,SALINE,5017766000,4.57599670194,3.92046966121,7.47665178185,6.67491823442
175,MERCY HOSPITAL WALDRON,WALDRON,AR,72958,SCOTT,4796374135,5.81874781143,6.28374353067,6.32627180298,7.65138477201
176,MERCY HOSPITAL FORT SMITH,FORT SMITH,AR,72917,SEBASTIAN,4793146000,5.86827592458,5.31151060969,7.73256491497,5.33002474702
177,SPARKS REGIONAL MEDICAL CENTER,FORT SMITH,AR,72902,SEBASTIAN,4794414000,5.13310581303,3.77089536568,5.08545945806,4.86813986035
178,"DE QUEEN MEDICAL CENTER, INC",DE QUEEN,AR,71832,SEVIER,8705844111,5.13999067337,5.20680860282,6.32627180298,6.91182847368
179,STONE COUNTY MEDICAL CENTER,MOUNTAIN VIEW,AR,72560,STONE,8702694361,6.42374621274,4.23457568184,6.32627180298,7.37168656175
